label,uprivers,bahia,necochea,interior,total
Mar-25,0,3759,0,0,3759
Abr-25,0,3149,626,1210,4985
May-25,0,2841,3950,0,6791
Jun-25,0,55,684,52,791
Jul-25,0,420,4752,0,5172
Ago-25,30,15180,16624,970,32804
Sep-25,0,82281,94565,15830,192676
Oct-25,260,90248,70220,28356,189084
Nov-25,6675,113999,165660,59427,345761
Dic-25,11522,286068,237439,96164,631193
Ene-26,5015,295963,270626,94041,665645
Feb-26,1520,130324,137833,32606,302283
Mar-26,1074,62480,65787,18405,147746
Abr-26,1200,39445,23374,7400,71419
May-26,388,26476,29307,4658,60829
