label,uprivers,bahia,necochea,interior,total
Mar-25,91,0,0,1451,1542
Abr-25,30550,0,0,14241,44791
May-25,34146,4500,0,12882,51528
Jun-25,27217,0,0,39340,66557
Jul-25,242632,2361,0,95177,340170
Ago-25,137104,12470,0,128018,277592
Sep-25,263656,29210,5750,253024,551640
Oct-25,224153,25585,11300,205678,466716
Nov-25,682334,129560,34370,403140,1249404
Dic-25,922279,73486,18974,418904,1433643
Ene-26,1580291,238233,15790,669241,2503555
Feb-26,1011663,205420,39950,701264,1958297
Mar-26,1978890,394593,57160,1249746,3680389
Abr-26,1468814,293990,69541,1064167,2896512
May-26,496051,141890,24822,435432,1098195
