label,uprivers,bahia,necochea,interior,total
Mar-25,24379,1368,3703,45829,75279
Abr-25,81867,514,10554,40241,133176
May-25,214618,120533,4681,54327,394159
Jun-25,249045,16263,7213,135224,407745
Jul-25,153086,10616,12599,75785,252086
Ago-25,167683,8010,8768,109640,294101
Sep-25,552669,52192,54238,317724,976823
Oct-25,848787,174723,84860,361918,1470288
Nov-25,971418,102540,109869,682248,1866075
Dic-25,1896860,201955,196573,923734,3219122
Ene-26,1159793,503282,274278,901169,2838522
Feb-26,465445,175068,129485,469834,1239832
Mar-26,310548,184423,52553,343738,891262
Abr-26,272674,81106,34187,346164,734131
May-26,235199,90898,12597,217278,555972
