"localidad_id","localidad_nombre","localidad_centroide_lat","localidad_centroide_lon","provincia_nombre"
"1401401002","La Floresta",-31.3968471082745,-64.0598690981123,"Córdoba"
"5002802001","Bermejo",-32.8673131267475,-68.779539700913,"Mendoza"
"0602801008","Malvinas Argentinas",-34.818755035018,-58.4233878258472,"Buenos Aires"
"0602801009","Ministro Rivadavia",-34.844020734727,-58.3627535292892,"Buenos Aires"
"0602801001","Adrogué",-34.7973726678595,-58.3884529337359,"Buenos Aires"
"0602801002","Burzaco",-34.8281717078487,-58.391033876775,"Buenos Aires"
"0602801003","Claypole",-34.7975588663845,-58.3352044170245,"Buenos Aires"
"0602801004","Don Orione",-34.8192915430555,-58.3418543079073,"Buenos Aires"
"0602801005","Glew",-34.8883362582313,-58.3827874554173,"Buenos Aires"
"0602801006","José Mármol",-34.7863165982708,-58.3698423146283,"Buenos Aires"
"0602801007","Longchamps",-34.8607298436239,-58.3891848898302,"Buenos Aires"
"0602801010","Rafael Calzada",-34.7973596083698,-58.3616711607296,"Buenos Aires"
"0602801011","San Francisco Solano",-34.7856525531101,-58.3195680327004,"Buenos Aires"
"0602801012","San José",-34.7636323626806,-58.3433914665336,"Buenos Aires"
"0603501005","Gerli",-34.6837730568077,-58.3744414837129,"Buenos Aires"
"0603501006","Piñeyro",-34.6680837299877,-58.3877465009579,"Buenos Aires"
"0603501007","Sarandí",-34.6817960638597,-58.3463107872911,"Buenos Aires"
"0603501008","Villa Domínico",-34.6945766428955,-58.3304564528104,"Buenos Aires"
"0603501009","Wilde",-34.7040788191542,-58.3172095095929,"Buenos Aires"
"0603501001","Área Reserva Cinturón Ecológico",-34.6844598100355,-58.3077371090541,"Buenos Aires"
"0603501002","Avellaneda",-34.6638295089907,-58.3627373569237,"Buenos Aires"
"0603501003","Crucesita",-34.6679918825796,-58.3571256035498,"Buenos Aires"
"0603501004","Dock Sud",-34.6501342165535,-58.3449022624786,"Buenos Aires"
"0605601001","Bahía Blanca",-38.7227702772442,-62.2727419998288,"Buenos Aires"
"0605601002","Grünbein",-38.7492722104635,-62.1908892770901,"Buenos Aires"
"0605601003","Ingeniero White",-38.7794923647948,-62.2655806941397,"Buenos Aires"
"0605601004","Villa Bordeau",-38.693558630756,-62.3350174250385,"Buenos Aires"
"0605601005","Villa Espora",-38.7414156242007,-62.1713754950049,"Buenos Aires"
"0609101001","Berazategui",-34.7630163121184,-58.2121691523322,"Buenos Aires"
"0609101002","Berazategui Oeste",-34.7770033567074,-58.2388864838825,"Buenos Aires"
"0609101003","Carlos Tomás Sourigues",-34.8062523505149,-58.2153884798708,"Buenos Aires"
"0609101004","El Pato",-34.8848301020853,-58.1738517384337,"Buenos Aires"
"0609101005","Guillermo Enrique Hudson",-34.7918465006493,-58.1516189728872,"Buenos Aires"
"0609101006","Juan María Gutiérrez",-34.8339094499703,-58.1838076894883,"Buenos Aires"
"0609101007","Pereyra",-34.8361790912767,-58.0942893323644,"Buenos Aires"
"0609101008","Plátanos",-34.7818075686994,-58.1701856172611,"Buenos Aires"
"0609101009","Ranelagh",-34.7877872381146,-58.203185368401,"Buenos Aires"
"0609101010","Villa España",-34.7754718758991,-58.1994415833972,"Buenos Aires"
"0609801001","Barrio Banco Provincia",-34.8742950475612,-57.8547261229371,"Buenos Aires"
"0609801002","Barrio El Carmen Este",-34.9302812245063,-57.8853110232107,"Buenos Aires"
"0609801003","Barrio Universitario",-34.9023475254739,-57.9248290975673,"Buenos Aires"
"0609801004","Berisso",-34.8702937888262,-57.8833253506658,"Buenos Aires"
"0609801005","Los Talas",-34.9110238385634,-57.7842688411965,"Buenos Aires"
"0609801006","Villa Argüello",-34.9069331564209,-57.9163481974945,"Buenos Aires"
"0609801007","Villa Dolores",-34.8787305631142,-57.8673760512396,"Buenos Aires"
"0609801008","Villa Independencia",-34.8821680150728,-57.8595091999308,"Buenos Aires"
"0609801009","Villa Nueva",-34.8952719649896,-57.9074962230535,"Buenos Aires"
"0609801010","Villa Porteña",-34.887154968699,-57.8980863322648,"Buenos Aires"
"0609801011","Villa Progreso",-34.9240533019987,-57.8998852278413,"Buenos Aires"
"0609801012","Villa San Carlos",-34.8769713556362,-57.8743971198173,"Buenos Aires"
"0609801013","Villa Zula",-34.8829755565619,-57.8447163179186,"Buenos Aires"
"0618203001","Punta Alta",-38.8781733532983,-62.0794804613607,"Buenos Aires"
"0618203002","Villa del Mar",-38.8543891102131,-62.116520630945,"Buenos Aires"
"0621801001","Chascomús",-35.5742063770635,-58.011281450951,"Buenos Aires"
"0621801003","Barrio San Cayetano",-35.5353900516083,-58.0139947303222,"Buenos Aires"
"0624501001","Dique N° 1",-34.8947877637158,-57.934267255707,"Buenos Aires"
"0624501002","Ensenada",-34.8624180059336,-57.9089420661935,"Buenos Aires"
"0624501003","Isla Santiago",-34.845519765725,-57.8947826129536,"Buenos Aires"
"0624501004","Punta Lara",-34.8098160029732,-57.9837987384422,"Buenos Aires"
"0624501005","Villa Catela",-34.8871864189301,-57.9484238171254,"Buenos Aires"
"0625201001","Belén de Escobar",-34.3454707314612,-58.7928104368433,"Buenos Aires"
"0625201002","El Cazador",-34.3115230240373,-58.7643460148419,"Buenos Aires"
"0625201003","Garín",-34.4230339103436,-58.7394613036842,"Buenos Aires"
"0625201004","Ingeniero Maschwitz",-34.3892350663582,-58.7378666055156,"Buenos Aires"
"0625201005","Loma Verde",-34.3307009506977,-58.8458079535386,"Buenos Aires"
"0625201006","Matheu",-34.3852450911802,-58.8278056477923,"Buenos Aires"
"0625201007","Maquinista F. Savio Este",-34.4006498402276,-58.7762915155144,"Buenos Aires"
"0626001001","Canning",-34.8570183979281,-58.4979072193515,"Buenos Aires"
"0626001002","El Jagüel",-34.8308533167404,-58.4948836966085,"Buenos Aires"
"0626001003","Luis Guillón",-34.802641552529,-58.4506754302196,"Buenos Aires"
"0626001004","Monte Grande",-34.8163557987773,-58.4682642320418,"Buenos Aires"
"0626001005","9 de Abril",-34.7627878709863,-58.4875479930927,"Buenos Aires"
"0626606001","El Remanso",-34.3897717062025,-59.0807782961489,"Buenos Aires"
"0656801004","Morón",-34.6474573245916,-58.6218615494078,"Buenos Aires"
"0626606002","Parada Robles",-34.3718922819947,-59.1246837768692,"Buenos Aires"
"0626606003","Pavón",-34.3931798584401,-59.034704046908,"Buenos Aires"
"0627001001","Aeropuerto Internacional Ezeiza",-34.7925035356355,-58.5246396303008,"Buenos Aires"
"0627001002","Canning",-34.8773939810943,-58.5075326703501,"Buenos Aires"
"0627001003","Carlos Spegazzini",-34.9117467019627,-58.5921665202679,"Buenos Aires"
"0627001004","José María Ezeiza",-34.852762171254,-58.5232011263057,"Buenos Aires"
"0627001005","La Unión",-34.8755663651384,-58.5419814148017,"Buenos Aires"
"0627001006","Tristán Suárez",-34.8909591657384,-58.5665543633085,"Buenos Aires"
"0627401001","Bosques",-34.8166106308631,-58.2313139527388,"Buenos Aires"
"0627401002","Estanislao Severo Zeballos",-34.8141798503006,-58.2412180629062,"Buenos Aires"
"0627401003","San Juan Bautista",-34.8089857687717,-58.2761500162399,"Buenos Aires"
"0627401004","Gobernador Julio A. Costa",-34.8075484180765,-58.3038510563683,"Buenos Aires"
"0627401005","Ingeniero Juan Allan",-34.8666834881557,-58.1985573691944,"Buenos Aires"
"0627401006","Villa Brown",-34.8712963131667,-58.275494514116,"Buenos Aires"
"0627401007","Villa San Luis",-34.8573772072023,-58.2738131215556,"Buenos Aires"
"0627401008","Villa Santa Rosa",-34.8370639708137,-58.2821795695129,"Buenos Aires"
"0627401009","Villa Vatteone",-34.8269738162855,-58.2714023284921,"Buenos Aires"
"0627401010","El Tropezón",-34.9465243767608,-58.2672747979278,"Buenos Aires"
"0627401011","La Capilla",-34.925691977811,-58.2646975204026,"Buenos Aires"
"0631501001","Barrio Kennedy",-37.0202869812865,-57.1033880422358,"Buenos Aires"
"0631501002","General Juan Madariaga",-37.0019581688764,-57.1358378165266,"Buenos Aires"
"0635711001","Camet",-37.9401411938582,-57.5499424869415,"Buenos Aires"
"0635711002","Estación Camet",-37.8884221513547,-57.6069464405144,"Buenos Aires"
"0635711003","Mar del Plata",-38.0064494189987,-57.5438377776641,"Buenos Aires"
"0635711004","Punta Mogotes",-38.0669527856915,-57.5510392309588,"Buenos Aires"
"0635711005","Barrio El Casal",-37.8315957271005,-57.6221111182623,"Buenos Aires"
