cultivo,planta,mes,mes_idx,stock_inicial,descargas,embarques,open
maiz,TB,Enero,1,0,0,59669,0
maiz,TB,Febrero,2,0,0,47387,0
maiz,TB,Marzo,3,-16604,100000,96935,0
maiz,TB,Abril,4,-16612,50000,124502,0
maiz,TB,Mayo,5,4495,70000,91892,0
maiz,TB,Junio,6,-42262,80000,150000,0
maiz,TB,Julio,7,-36712,100000,180000,0
maiz,TB,Agosto,8,-54787,80000,130000,0
maiz,TB,Septiembre,9,-108412,40000,120000,0
maiz,TB,Octubre,10,-191321,30000,120000,0
maiz,TB,Noviembre,11,-285071,0,0,0
maiz,TB,Diciembre,12,-355071,0,0,0
maiz,GL,Enero,1,3513,100000,41800,0
maiz,GL,Febrero,2,11981,100000,55450,0
maiz,GL,Marzo,3,30193,190000,181401,0
maiz,GL,Abril,4,55146,180000,225189,0
maiz,GL,Mayo,5,88408,180000,224109,0
maiz,GL,Junio,6,21633,170000,200000,0
maiz,GL,Julio,7,12883,220000,240000,0
maiz,GL,Agosto,8,10033,220000,210000,0
maiz,GL,Septiembre,9,4523,180000,180000,0
maiz,GL,Octubre,10,-5971,160000,170000,0
maiz,GL,Noviembre,11,-31443,160000,170000,0
maiz,GL,Diciembre,12,-58963,150000,160000,0
maiz,BBL,Enero,1,0,50000,50000,0
maiz,BBL,Febrero,2,0,40000,50000,0
maiz,BBL,Marzo,3,0,100000,100000,0
maiz,BBL,Abril,4,0,100000,110000,0
maiz,BBL,Mayo,5,0,110000,110000,0
maiz,BBL,Junio,6,0,90000,90000,0
maiz,BBL,Julio,7,0,110000,100000,0
maiz,BBL,Agosto,8,0,110000,100000,0
maiz,BBL,Septiembre,9,0,90000,100000,0
maiz,BBL,Octubre,10,0,70000,80000,0
maiz,BBL,Noviembre,11,0,70000,70000,0
maiz,BBL,Diciembre,12,0,70000,70000,0
trigo,TB,Enero,1,84250,150000,150000,0
trigo,TB,Febrero,2,70893,120000,110000,0
trigo,TB,Marzo,3,0,50000,100000,0
trigo,TB,Abril,4,0,0,0,0
trigo,TB,Mayo,5,0,0,0,0
trigo,TB,Junio,6,0,0,0,0
trigo,TB,Julio,7,0,0,0,0
trigo,TB,Agosto,8,0,0,0,0
trigo,TB,Septiembre,9,0,0,0,0
trigo,TB,Octubre,10,0,0,0,0
trigo,TB,Noviembre,11,0,70000,50000,0
trigo,TB,Diciembre,12,0,120000,100000,0
trigo,GL,Enero,1,-161690,300000,300000,0
trigo,GL,Febrero,2,124290,120000,110000,0
trigo,GL,Marzo,3,44470,80000,100000,0
trigo,GL,Abril,4,3090,40000,80000,0
trigo,GL,Mayo,5,134813,50000,50000,0
trigo,GL,Junio,6,50000,50000,50000,0
trigo,GL,Julio,7,50000,50000,50000,0
trigo,GL,Agosto,8,0,50000,50000,0
trigo,GL,Septiembre,9,0,50000,50000,0
trigo,GL,Octubre,10,0,40000,50000,0
trigo,GL,Noviembre,11,0,90000,70000,0
trigo,GL,Diciembre,12,0,150000,120000,0
trigo,BBL,Enero,1,0,120000,0,0
trigo,BBL,Febrero,2,0,90000,0,0
trigo,BBL,Marzo,3,0,80000,0,0
trigo,BBL,Abril,4,0,20000,0,0
trigo,BBL,Mayo,5,0,30000,0,0
trigo,BBL,Junio,6,0,30000,0,0
trigo,BBL,Julio,7,0,20000,0,0
trigo,BBL,Agosto,8,0,30000,0,0
trigo,BBL,Septiembre,9,0,25000,0,0
trigo,BBL,Octubre,10,0,10000,0,0
trigo,BBL,Noviembre,11,0,20000,0,0
trigo,BBL,Diciembre,12,0,80000,0,0
cebada,BBL,Enero,1,0,120000,0,0
cebada,BBL,Febrero,2,0,120000,0,0
cebada,BBL,Marzo,3,0,85000,0,0
cebada,BBL,Abril,4,0,60000,0,0
cebada,BBL,Mayo,5,0,0,0,0
cebada,BBL,Junio,6,0,0,0,0
cebada,BBL,Julio,7,0,0,0,0
cebada,BBL,Agosto,8,0,0,0,0
cebada,BBL,Septiembre,9,0,0,0,0
cebada,BBL,Octubre,10,0,0,0,0
cebada,BBL,Noviembre,11,0,0,0,0
cebada,BBL,Diciembre,12,0,50000,0,0
sorgo,TB,Enero,1,0,0,0,0
sorgo,TB,Febrero,2,0,0,0,0
sorgo,TB,Marzo,3,0,0,0,0
sorgo,TB,Abril,4,0,0,0,0
sorgo,TB,Mayo,5,0,0,0,0
sorgo,TB,Junio,6,0,0,0,0
sorgo,TB,Julio,7,0,0,0,0
sorgo,TB,Agosto,8,0,0,0,0
sorgo,TB,Septiembre,9,0,0,0,0
sorgo,TB,Octubre,10,0,0,0,0
sorgo,TB,Noviembre,11,0,0,0,0
sorgo,TB,Diciembre,12,0,0,0,0
sorgo,GL,Enero,1,0,0,0,0
sorgo,GL,Febrero,2,0,0,0,0
sorgo,GL,Marzo,3,0,0,0,0
sorgo,GL,Abril,4,0,0,0,0
sorgo,GL,Mayo,5,0,0,0,0
sorgo,GL,Junio,6,0,0,0,0
sorgo,GL,Julio,7,0,0,0,0
sorgo,GL,Agosto,8,0,0,0,0
sorgo,GL,Septiembre,9,0,0,0,0
sorgo,GL,Octubre,10,0,0,0,0
sorgo,GL,Noviembre,11,0,0,0,0
sorgo,GL,Diciembre,12,0,0,0,0
sorgo,BBL,Enero,1,0,0,0,0
sorgo,BBL,Febrero,2,0,0,0,0
sorgo,BBL,Marzo,3,0,0,0,0
sorgo,BBL,Abril,4,0,0,0,0
sorgo,BBL,Mayo,5,0,0,0,0
sorgo,BBL,Junio,6,0,0,0,0
sorgo,BBL,Julio,7,0,0,0,0
sorgo,BBL,Agosto,8,0,0,0,0
sorgo,BBL,Septiembre,9,0,0,0,0
sorgo,BBL,Octubre,10,0,0,0,0
sorgo,BBL,Noviembre,11,0,0,0,0
sorgo,BBL,Diciembre,12,0,0,0,0
