tipo,label,NDJ,FMA,MJJ,ASO,total,low,prior,min
mensual,Mar-25,0,0,0,0,0,False,False,0
mensual,Abr-25,1210,0,0,0,1210,False,False,0
mensual,May-25,0,0,0,0,0,False,False,0
mensual,Jun-25,52,0,0,0,52,False,False,0
mensual,Jul-25,0,0,0,0,0,False,False,0
mensual,Ago-25,970,0,0,0,970,False,False,0
mensual,Sep-25,15830,0,0,0,15830,False,False,0
mensual,Oct-25,25356,3000,0,0,28356,False,False,0
mensual,Nov-25,59027,400,0,0,59427,False,False,0
mensual,Dic-25,67614,28550,0,0,96164,False,False,0
mensual,Ene-26,49931,44110,0,0,94041,False,False,0
mensual,Feb-26,0,27606,5000,0,32606,False,False,0
mensual,Mar-26,0,13105,5300,0,18405,False,False,0
mensual,Abr-26,0,3320,4080,0,7400,False,False,0
diario,01/04,0,317,0,0,317,False,False,0
diario,06/04,0,102,0,0,102,False,False,0
diario,07/04,0,90,180,0,270,False,False,0
diario,08/04,0,130,1000,0,1130,False,False,0
diario,09/04,0,2120,0,0,2120,False,False,0
diario,10/04,0,250,0,0,250,False,False,0
diario,13/04,0,0,0,0,0,False,False,0
diario,14/04,0,17,300,0,317,False,False,0
diario,15/04,0,180,0,0,180,False,False,0
diario,16/04,0,0,0,0,0,False,False,0
diario,17/04,0,0,0,0,0,False,False,0
diario,20/04,0,50,0,0,50,False,False,0
diario,21/04,0,0,0,0,0,False,False,0
diario,22/04,0,1,0,0,1,False,False,0
diario,23/04,0,33,0,0,33,False,False,0
diario,24/04,0,0,0,0,0,False,False,0
diario,27/04,0,0,0,0,0,False,False,0
diario,28/04,0,0,1600,0,1600,False,False,0
diario,29/04,0,30,1000,0,1030,False,False,0
diario,30/04,0,0,0,0,0,False,False,0
diario,04/05,0,0,600,0,600,False,False,0
diario,05/05,0,0,120,0,120,False,False,0
diario,06/05,0,0,0,0,0,False,False,0
diario,07/05,0,0,30,0,30,False,False,0
diario,08/05,0,0,118,0,118,False,False,0
diario,11/05,0,0,0,0,0,False,False,0
diario,12/05,0,0,60,0,60,False,False,0
diario,13/05,0,0,60,0,60,False,False,0
diario,14/05,0,0,90,0,90,False,False,0
diario,15/05,0,0,200,0,200,False,False,0
