tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,NC,total,low,prior,min
mensual,Mar-25,863,622,58,0,0,0,0,0,0,0,0,0,0,1543,False,False,0
mensual,Abr-25,21073,10620,10160,0,2937,0,0,0,0,0,0,0,0,44790,False,False,0
mensual,May-25,12586,11455,566,577,1316,0,0,0,0,0,0,0,0,26500,False,False,26500
mensual,Jun-25,2103,5163,2191,1799,5344,0,0,0,0,0,0,0,0,16600,False,False,16600
mensual,Jul-25,7251,3666,541,613,3586,528,0,0,0,0,0,0,0,16185,False,False,16186
mensual,Ago-25,28929,27400,815,6680,18712,2222,0,0,0,0,0,0,0,84758,False,False,84757
mensual,Sep-25,137466,94943,7290,30035,129791,8362,299,370,0,0,0,0,0,408556,False,False,408557
mensual,Oct-25,162674,80795,38887,34295,171522,16698,1086,0,0,0,0,0,60,506017,False,False,505957
mensual,Nov-25,270017,89924,39851,404768,658193,56838,2938,0,0,0,0,0,0,1522529,False,False,1522529
mensual,Dic-25,954557,132520,39981,404184,207973,20176,6380,4972,3729,3729,3729,0,0,1781930,False,False,1781929
mensual,Ene-26,1462263,733700,159367,404993,273550,34547,11406,1235,5020,3704,617,0,0,3090402,False,False,3090400
mensual,Feb-26,850556,484580,119972,299263,662877,28487,19696,7751,12707,2541,0,0,0,2488430,False,False,2488429
mensual,Mar-26,1838650,993223,165459,211668,339821,101483,83316,21381,59317,12739,0,0,36427,3863484,False,False,3827057
mensual,Abr-26,0,2155084,465354,680339,387863,136901,110260,19744,11731,9390,2754,165,85220,4064805,False,False,3979586
diario,01/04,0,92686,775,9368,1647,388,0,0,388,1680,0,0,3587,110519,False,False,106932
diario,06/04,0,200186,14274,6297,5091,3992,1227,0,0,0,0,0,3592,234659,False,False,231067
diario,07/04,0,131804,20008,24118,33661,1680,0,0,517,0,0,0,105,211893,False,False,211788
diario,08/04,0,141703,23012,46482,14575,0,388,0,775,0,0,0,1500,228435,False,False,226935
diario,09/04,0,165561,15253,17434,6307,814,349,0,0,0,0,0,0,205718,False,False,205718
diario,10/04,0,89858,24207,5246,12249,646,0,0,0,0,0,0,2000,134206,False,False,132206
diario,13/04,0,114084,23206,8229,2416,620,3230,0,0,0,2584,0,8810,163179,False,False,154369
diario,14/04,0,92424,21332,11835,17960,4522,4005,3618,0,0,0,0,605,156301,False,False,155696
diario,15/04,0,74012,27663,158143,75022,25493,388,1292,3876,1292,0,0,5530,372711,False,False,367181
diario,16/04,0,90095,2203,22850,24256,11952,646,0,39,0,0,0,100,152141,False,False,152041
diario,17/04,0,49471,16210,13709,9806,646,1938,0,646,0,0,0,1980,94406,False,False,92426
diario,20/04,0,94855,14077,15266,8088,7119,6396,1938,581,39,0,0,2030,150389,False,False,148359
diario,21/04,0,145449,86252,20275,5878,6680,24498,9587,310,1292,0,0,1490,301711,False,False,300221
diario,22/04,0,82538,25901,10375,5633,4781,41282,543,0,258,0,0,925,172236,False,False,171311
diario,23/04,0,33214,22314,13502,40868,27108,388,1550,1938,0,0,155,1171,142208,False,False,141037
diario,24/04,0,63953,11267,13825,12766,1280,4264,0,0,0,0,0,5410,112765,False,False,107355
diario,27/04,0,135164,16603,3928,15182,3482,1680,0,0,0,0,0,4710,180749,False,False,176039
diario,28/04,0,79479,30734,151638,37916,6073,9187,0,1938,3359,0,0,16135,336459,False,False,320324
diario,29/04,0,64682,15974,61597,25428,3230,3489,0,0,775,0,0,23630,198805,False,False,175175
diario,30/04,0,78771,25427,23025,7610,17964,116,0,0,0,0,0,1910,154823,False,False,152913
diario,04/05,0,0,139975,23456,25725,24950,388,0,0,3359,0,0,17290,235143,False,False,217853
diario,05/05,0,0,98172,32651,12171,607,1473,2584,904,517,517,517,11120,161233,False,False,150113
diario,06/05,0,0,84161,6565,7220,0,3424,0,0,0,0,0,3740,105110,False,False,101370
diario,07/05,0,0,92103,12095,3023,898,1822,0,0,388,0,0,3460,113789,False,False,110329
diario,08/05,0,0,89995,49559,9103,7003,1447,0,0,6460,0,0,1661,165228,False,False,163567
diario,11/05,0,0,76951,35929,33930,7352,1292,0,0,0,0,0,2660,158114,False,False,155454
diario,12/05,0,0,111337,35075,18270,17236,2067,0,0,194,0,0,6682,190861,False,False,184179
diario,13/05,0,0,85044,47397,12856,7365,0,0,0,1370,0,0,22900,176932,False,False,154032
diario,14/05,0,0,47268,3530,1090,4160,6010,500,0,0,0,0,2946,65504,False,False,0
diario,15/05,0,0,40359,1210,21480,2060,500,0,0,300,0,0,1000,66909,False,False,0
diario,18/05,0,0,53153,31365,10950,3253,0,0,0,0,0,0,1030,99751,False,False,0
diario,19/05,0,0,77507,23465,23880,11290,0,0,0,1400,0,0,3100,140642,False,False,0
diario,20/05,0,0,50086,5842,2780,90,0,0,0,0,0,0,500,59298,False,False,0
