tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,NC,total,low,prior,min
mensual,Mar-25,863,622,58,0,0,0,0,0,0,0,0,0,0,1543,False,False,0
mensual,Abr-25,21073,10620,10160,0,2937,0,0,0,0,0,0,0,0,44790,False,False,0
mensual,May-25,12586,11455,566,577,1316,0,0,0,0,0,0,0,0,26500,False,False,26500
mensual,Jun-25,2103,5163,2191,1799,5344,0,0,0,0,0,0,0,0,16600,False,False,16600
mensual,Jul-25,7251,3666,541,613,3586,528,0,0,0,0,0,0,0,16185,False,False,16186
mensual,Ago-25,28929,27400,815,6680,18712,2222,0,0,0,0,0,0,0,84758,False,False,84757
mensual,Sep-25,137466,94943,7290,30035,129791,8362,299,370,0,0,0,0,0,408556,False,False,408557
mensual,Oct-25,162674,80795,38887,34295,171522,16698,1086,0,0,0,0,0,60,506017,False,False,505957
mensual,Nov-25,270017,89924,39851,404768,658193,56838,2938,0,0,0,0,0,0,1522529,False,False,1522529
mensual,Dic-25,954557,132520,39981,404184,207973,20176,6380,4972,3729,3729,3729,0,0,1781930,False,False,1781929
mensual,Ene-26,1462263,733700,159367,404993,273550,34547,11406,1235,5020,3704,617,0,0,3090402,False,False,3090400
mensual,Feb-26,850556,484580,119972,299263,662877,28487,19696,7751,12707,2541,0,0,0,2488430,False,False,2488429
mensual,Mar-26,1838650,993223,165459,211668,339821,101483,83316,21381,59317,12739,0,0,36427,3863484,False,False,3827057
mensual,Abr-26,0,2155084,465354,680339,387863,136901,110260,19744,11731,9390,2754,165,85220,4064805,False,False,3979586
diario,01/04,0,92591,774,9358,1646,387,0,0,387,1678,0,0,3587,110408,False,False,106821
diario,06/04,0,199980,14259,6291,5086,3988,1226,0,0,0,0,0,3592,234422,False,False,230830
diario,07/04,0,131668,19987,24093,33627,1678,0,0,516,0,0,0,105,211674,False,False,211569
diario,08/04,0,141557,22988,46435,14560,0,387,0,774,0,0,0,1500,228201,False,False,226701
diario,09/04,0,165391,15237,17416,6301,813,348,0,0,0,0,0,0,205506,False,False,205506
diario,10/04,0,89765,24182,5240,12236,645,0,0,0,0,0,0,2000,134068,False,False,132068
diario,13/04,0,113967,23182,8221,2414,620,3227,0,0,0,2581,0,8810,163022,False,False,154212
diario,14/04,0,92329,21310,11823,17941,4518,4001,3614,0,0,0,0,605,156141,False,False,155536
diario,15/04,0,73936,27635,157980,74945,25466,387,1291,3872,1291,0,0,5530,372333,False,False,366803
diario,16/04,0,90002,2201,22827,24231,11939,645,0,39,0,0,0,100,151984,False,False,151884
diario,17/04,0,49420,16194,13695,9795,645,1936,0,645,0,0,0,1980,94310,False,False,92330
diario,20/04,0,94758,14062,15251,8080,7112,6389,1936,581,39,0,0,2030,150238,False,False,148208
diario,21/04,0,145300,86163,20254,5872,6673,24472,9577,310,1291,0,0,1490,301402,False,False,299912
diario,22/04,0,82453,25875,10365,5628,4776,41239,542,0,258,0,0,925,172061,False,False,171136
diario,23/04,0,33180,22291,13488,40826,27080,387,1549,1936,0,0,155,1171,142063,False,False,140892
diario,24/04,0,63887,11255,13811,12753,1279,4259,0,0,0,0,0,5410,112654,False,False,107244
diario,27/04,0,135025,16586,3924,15166,3479,1678,0,0,0,0,0,4710,180568,False,False,175858
diario,28/04,0,79397,30702,151482,37877,6066,9177,0,1936,3356,0,0,16135,336128,False,False,319993
diario,29/04,0,64615,15958,61533,25402,3227,3485,0,0,774,0,0,23630,198624,False,False,174994
diario,30/04,0,78690,25400,23001,7602,17945,116,0,0,0,0,0,1910,154664,False,False,152754
diario,04/05,0,0,139831,23432,25699,24924,387,0,0,3356,0,0,17290,234919,False,False,217629
diario,05/05,0,0,98071,32617,12159,607,1471,2581,904,516,516,516,11120,161078,False,False,149958
diario,06/05,0,0,84898,6559,7213,0,3420,0,0,0,0,0,3740,105830,False,False,102090
diario,07/05,0,0,92164,12082,3020,897,1820,0,0,387,0,0,3460,113830,False,False,110370
diario,08/05,0,0,89902,49508,9093,6996,1446,0,0,6454,0,0,1661,165060,False,False,163399
diario,11/05,0,0,77169,35892,33895,7344,1291,0,0,0,0,0,2660,158251,False,False,155591
diario,12/05,0,0,111222,35039,18251,17218,2065,0,0,194,0,0,6682,190671,False,False,183989
diario,13/05,0,0,84956,47348,12843,7357,0,0,0,1368,0,0,22900,176772,False,False,153872
diario,14/05,0,0,47419,3530,1090,4160,6010,500,0,0,0,0,2946,65655,False,False,0
diario,15/05,0,0,40359,1210,21480,2060,500,0,0,300,0,0,1000,66909,False,False,0
diario,18/05,0,0,53153,31365,10950,3253,0,0,0,0,0,0,1030,99751,False,False,0
diario,19/05,0,0,77657,23465,23880,11290,0,0,0,1400,0,0,3100,140792,False,False,0
diario,20/05,0,0,69505,6672,12180,150,0,0,0,0,0,0,1120,89627,False,False,0
diario,21/05,0,0,1187,3200,0,0,0,0,0,0,0,0,0,4387,False,False,0
