tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,NC,total,low,prior,min
mensual,Mar-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Abr-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,May-25,0,4500,0,0,0,0,0,0,0,0,0,0,0,4500,False,False,0
mensual,Jun-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jul-25,0,1061,0,0,1300,0,0,0,0,0,0,0,0,2361,False,False,0
mensual,Ago-25,10620,1500,0,0,350,0,0,0,0,0,0,0,0,12470,False,False,0
mensual,Sep-25,2000,6600,460,760,19390,0,0,0,0,0,0,0,0,29210,False,False,0
mensual,Oct-25,1640,13020,1090,890,8945,0,0,0,0,0,0,0,0,25585,False,False,0
mensual,Nov-25,1600,2750,2170,25450,96865,725,0,0,0,0,0,0,0,129560,False,False,0
mensual,Dic-25,5234,12940,1540,37660,14880,1232,0,0,0,0,0,0,0,73486,False,False,0
mensual,Ene-26,29163,117030,9340,59170,21610,1590,330,0,0,0,0,0,0,238233,False,False,0
mensual,Feb-26,30899,83916,19925,2530,66850,1300,0,0,0,0,0,0,0,205420,False,False,0
mensual,Mar-26,223720,67121,22786,43580,31166,6160,60,0,0,0,0,0,550,395143,False,False,0
mensual,Abr-26,0,105591,20706,76750,55870,22823,12250,0,0,0,0,0,1000,294990,False,False,0
diario,01/04,0,21898,0,0,650,0,0,0,0,0,0,0,0,22548,False,False,0
diario,06/04,0,1624,360,0,0,0,0,0,0,0,0,0,0,1984,False,False,0
diario,07/04,0,3180,0,150,1200,1150,0,0,0,0,0,0,0,5680,False,False,0
diario,08/04,0,3861,1560,10320,1000,0,300,0,0,0,0,0,0,17041,False,False,0
diario,09/04,0,4007,1590,1010,1300,420,0,0,0,0,0,0,0,8327,False,False,0
diario,10/04,0,2048,1000,0,130,0,0,0,0,0,0,0,0,3178,False,False,0
diario,13/04,0,3130,90,0,0,0,0,0,0,0,0,0,0,3220,False,False,0
diario,14/04,0,3250,500,560,2700,1500,0,0,0,0,0,0,0,8510,False,False,0
diario,15/04,0,3460,2670,41080,12030,2450,0,0,0,0,0,0,0,61690,False,False,0
diario,16/04,0,5757,60,680,400,120,0,0,0,0,0,0,0,7017,False,False,0
diario,17/04,0,1770,900,360,1410,500,0,0,0,0,0,0,0,4940,False,False,0
diario,20/04,0,2783,1860,1200,60,150,0,0,0,0,0,0,0,6053,False,False,0
diario,21/04,0,3338,2696,0,210,2050,10860,0,0,0,0,0,0,19154,False,False,0
diario,22/04,0,1450,680,1500,560,0,300,0,0,0,0,0,0,4490,False,False,0
diario,23/04,0,2547,620,0,20320,12850,0,0,0,0,0,0,0,36337,False,False,0
diario,24/04,0,9269,510,0,2380,0,0,0,0,0,0,0,1000,13159,False,False,0
diario,27/04,0,7870,4220,0,1500,120,300,0,0,0,0,0,0,14010,False,False,0
diario,28/04,0,12224,1210,14820,9000,810,400,0,0,0,0,0,0,38464,False,False,0
diario,29/04,0,5350,120,2980,0,500,0,0,0,0,0,0,0,8950,False,False,0
diario,30/04,0,6575,60,2090,950,203,90,0,0,0,0,0,0,9968,False,False,0
diario,04/05,0,0,17199,400,0,270,0,0,0,0,0,0,3000,20869,False,False,0
diario,05/05,0,0,11554,980,640,150,140,0,0,0,0,0,0,13464,False,False,0
diario,06/05,0,0,9394,710,1540,0,150,0,0,0,0,0,0,11794,False,False,0
diario,07/05,0,0,2285,590,330,660,910,0,0,0,0,0,0,4775,False,False,0
diario,08/05,0,0,10975,1000,2900,420,0,0,0,0,0,0,0,15295,False,False,0
diario,11/05,0,0,10684,1820,6420,0,1000,0,0,0,0,0,0,19924,False,False,0
diario,12/05,0,0,9514,720,400,150,0,0,0,0,0,0,0,10784,False,False,0
diario,13/05,0,0,2740,3410,0,490,0,0,0,0,0,0,11000,17640,False,False,0
diario,14/05,0,0,15277,1500,0,2650,500,500,0,0,0,0,0,20427,False,False,0
diario,15/05,0,0,6300,700,15000,0,0,0,0,0,0,0,0,22000,False,False,0
diario,18/05,0,0,2447,500,150,0,0,0,0,0,0,0,0,3097,False,False,0
diario,19/05,0,0,25249,700,20700,0,0,0,0,0,0,0,60,46709,False,False,0
diario,20/05,0,0,11570,60,11900,90,0,0,0,0,0,0,0,23620,False,False,0
diario,21/05,0,0,10537,0,16900,0,0,0,0,0,0,0,0,27437,False,False,0
diario,22/05,0,0,3986,3000,500,130,0,0,0,0,0,0,0,7616,False,False,0
