tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,NC,total,low,prior,min
mensual,Mar-25,772,622,58,0,0,0,0,0,0,0,0,0,0,1452,False,False,0
mensual,Abr-25,4555,6749,0,0,2937,0,0,0,0,0,0,0,0,14241,False,False,0
mensual,May-25,3215,6386,1101,1121,1059,0,0,0,0,0,0,0,0,12882,False,False,0
mensual,Jun-25,2142,15249,8786,4737,8426,0,0,0,0,0,0,0,0,39340,False,False,0
mensual,Jul-25,27555,14205,7309,11107,23901,11101,0,0,0,0,0,0,0,95178,False,False,0
mensual,Ago-25,25956,31175,2188,17505,44219,6976,0,0,0,0,0,0,0,128019,False,False,0
mensual,Sep-25,75233,52672,5643,26604,82781,9687,403,0,0,0,0,0,0,253023,False,False,0
mensual,Oct-25,71223,27331,27627,24616,49549,4907,427,0,0,0,0,0,0,205680,False,False,0
mensual,Nov-25,112486,26549,24905,79885,158893,311,111,0,0,0,0,0,0,403140,False,False,0
mensual,Dic-25,143832,47834,16999,101279,81853,8974,5133,4000,3000,3000,3000,0,0,418904,False,False,0
mensual,Ene-26,244932,144905,31528,76922,147384,16864,6139,0,66,0,500,0,0,669240,False,False,0
mensual,Feb-26,178982,123554,47333,79708,249788,18398,2500,1000,0,0,0,0,0,701263,False,False,0
mensual,Mar-26,587468,346801,52931,52998,135647,67404,4450,0,0,1000,0,0,9538,1258237,False,False,0
mensual,Abr-26,0,660414,96967,129914,105996,48366,19950,1120,0,390,0,0,25214,1088331,False,False,0
diario,01/04,0,28969,230,5300,440,0,0,0,0,0,0,0,3587,38526,False,False,0
diario,06/04,0,57329,1000,2300,2000,0,950,0,0,0,0,0,3592,67171,False,False,0
diario,07/04,0,31908,1250,17000,20672,0,0,0,0,0,0,0,105,70935,False,False,0
diario,08/04,0,37913,3220,16535,3500,0,0,0,0,0,0,0,500,61668,False,False,0
diario,09/04,0,63945,500,4000,2500,0,0,0,0,0,0,0,0,70945,False,False,0
diario,10/04,0,24104,1000,150,3740,500,0,0,0,0,0,0,0,29494,False,False,0
diario,13/04,0,40277,8310,5664,870,0,0,0,0,0,0,0,6810,61931,False,False,0
diario,14/04,0,26475,3960,2600,8200,2000,0,1000,0,0,0,0,300,44535,False,False,0
diario,15/04,0,24640,3968,12470,20914,10590,0,0,0,0,0,0,2100,74682,False,False,0
diario,16/04,0,32771,1100,2340,13545,5000,0,0,0,0,0,0,100,54856,False,False,0
diario,17/04,0,21898,7050,3200,3920,0,0,0,0,0,0,0,860,36928,False,False,0
diario,20/04,0,21029,1950,2945,1460,5300,1500,0,0,0,0,0,140,34324,False,False,0
diario,21/04,0,52697,21556,3092,1980,1500,6600,0,0,0,0,0,690,88115,False,False,0
diario,22/04,0,30375,4940,5040,1590,3700,4950,120,0,0,0,0,150,50865,False,False,0
diario,23/04,0,9719,4480,1000,5620,7130,300,0,0,0,0,0,210,28459,False,False,0
diario,24/04,0,14558,1950,1720,4700,371,1500,0,0,0,0,0,0,24799,False,False,0
diario,27/04,0,43297,5420,200,2130,2185,1000,0,0,0,0,0,2410,56642,False,False,0
diario,28/04,0,29694,8840,16363,2285,2090,2150,0,0,0,0,0,2360,63782,False,False,0
diario,29/04,0,25729,3663,27295,3870,500,1000,0,0,300,0,0,1300,63657,False,False,0
diario,30/04,0,42024,12580,700,1880,7500,0,0,0,0,0,0,0,64684,False,False,0
diario,04/05,0,0,65949,8553,10970,2000,0,0,0,0,0,0,4680,92152,False,False,0
diario,05/05,0,0,33238,8520,4780,0,0,0,0,0,0,0,1390,47928,False,False,0
diario,06/05,0,0,30714,3081,748,0,0,0,0,0,0,0,1100,35643,False,False,0
diario,07/05,0,0,28548,6491,500,0,0,0,0,0,0,0,60,35599,False,False,0
diario,08/05,0,0,23019,31460,1640,1000,1000,0,0,0,0,0,1391,59510,False,False,0
diario,11/05,0,0,28007,2060,2000,2090,0,0,0,0,0,0,2500,36657,False,False,0
diario,12/05,0,0,42266,5332,1560,1190,0,0,0,0,0,0,2580,52928,False,False,0
diario,13/05,0,0,26193,3895,3500,210,0,0,0,60,0,0,6520,40378,False,False,0
diario,14/05,0,0,17834,510,600,1510,510,0,0,0,0,0,500,21464,False,False,0
diario,15/05,0,0,25773,510,5210,2060,0,0,0,0,0,0,0,33553,False,False,0
diario,18/05,0,0,35941,2700,6800,3253,0,0,0,0,0,0,0,48694,False,False,0
diario,19/05,0,0,35374,5810,1060,0,0,0,0,0,0,0,2350,44594,False,False,0
diario,20/05,0,0,32064,4810,1000,0,0,0,0,0,0,0,1420,39294,False,False,0
diario,21/05,0,0,23531,10400,6280,1770,510,510,0,0,0,0,870,43871,False,False,0
diario,22/05,0,0,27788,3820,1000,3953,3000,2800,2700,0,0,0,0,45061,False,False,0
diario,26/05,0,0,23985,2942,1010,1520,0,500,0,0,0,0,120,30077,False,False,0
diario,27/05,0,0,432,1000,0,0,0,0,0,0,0,0,0,1432,False,False,0
