tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,NC,total,low,prior,min
mensual,Mar-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Abr-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,May-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jun-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jul-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Ago-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Sep-25,0,500,200,510,4540,0,0,0,0,0,0,0,0,5750,False,False,0
mensual,Oct-25,0,500,0,300,10000,500,0,0,0,0,0,0,0,11300,False,False,0
mensual,Nov-25,0,0,1100,17760,15510,0,0,0,0,0,0,0,0,34370,False,False,0
mensual,Dic-25,0,1000,0,11500,5974,500,0,0,0,0,0,0,0,18974,False,False,0
mensual,Ene-26,0,1000,1100,3860,8830,1000,0,0,0,0,0,0,0,15790,False,False,0
mensual,Feb-26,2810,0,1060,9340,24740,0,2000,0,0,0,0,0,0,39950,False,False,0
mensual,Mar-26,18795,1910,720,4470,27245,4020,0,0,0,0,0,0,0,57160,False,False,0
mensual,Abr-26,0,20071,8160,2340,26970,11430,570,0,0,0,0,0,0,69541,False,False,0
diario,01/04,0,120,0,150,0,0,0,0,0,0,0,0,0,270,False,False,0
diario,06/04,0,2015,0,1000,900,0,0,0,0,0,0,0,0,3915,False,False,0
diario,07/04,0,1059,1500,0,2000,0,0,0,0,0,0,0,0,4559,False,False,0
diario,08/04,0,390,0,300,1680,0,0,0,0,0,0,0,0,2370,False,False,0
diario,09/04,0,3318,0,0,1000,0,270,0,0,0,0,0,0,4588,False,False,0
diario,10/04,0,220,600,700,5100,0,0,0,0,0,0,0,0,6620,False,False,0
diario,13/04,0,0,0,0,1000,480,0,0,0,0,0,0,0,1480,False,False,0
diario,14/04,0,240,0,0,0,0,0,0,0,0,0,0,0,240,False,False,0
diario,15/04,0,0,0,0,2180,4190,300,0,0,0,0,0,0,6670,False,False,0
diario,16/04,0,0,240,100,120,2040,0,0,0,0,0,0,0,2500,False,False,0
diario,17/04,0,1550,0,0,1000,0,0,0,0,0,0,0,0,2550,False,False,0
diario,20/04,0,1350,0,0,4560,60,0,0,0,0,0,0,0,5970,False,False,0
diario,21/04,0,1813,3800,0,0,500,0,0,0,0,0,0,0,6113,False,False,0
diario,22/04,0,230,1000,90,970,0,0,0,0,0,0,0,0,2290,False,False,0
diario,23/04,0,1000,120,0,950,1000,0,0,0,0,0,0,0,3070,False,False,0
diario,24/04,0,1880,0,0,1000,270,0,0,0,0,0,0,0,3150,False,False,0
diario,27/04,0,530,0,0,4000,390,0,0,0,0,0,0,0,4920,False,False,0
diario,28/04,0,2715,0,0,0,800,0,0,0,0,0,0,0,3515,False,False,0
diario,29/04,0,805,900,0,450,1000,0,0,0,0,0,0,0,3155,False,False,0
diario,30/04,0,834,0,0,60,700,0,0,0,0,0,0,0,1594,False,False,0
diario,04/05,0,0,3320,0,0,600,0,0,0,0,0,0,0,3920,False,False,0
diario,05/05,0,0,920,0,0,320,0,0,0,0,0,0,0,1240,False,False,0
diario,06/05,0,0,92,0,3000,0,0,0,0,0,0,0,0,3092,False,False,0
diario,07/05,0,0,560,0,710,0,500,0,0,0,0,0,0,1770,False,False,0
diario,08/05,0,0,109,0,2500,0,120,0,0,0,0,0,0,2729,False,False,0
diario,11/05,0,0,1000,2000,0,0,0,0,0,0,0,0,0,3000,False,False,0
diario,12/05,0,0,801,300,1380,0,0,0,0,0,0,0,90,2571,False,False,0
diario,13/05,0,0,1390,0,1750,0,0,0,0,0,0,0,0,3140,False,False,0
diario,14/05,0,0,620,230,490,0,0,0,0,0,0,0,0,1340,False,False,0
diario,15/05,0,0,910,0,0,0,0,0,0,0,0,0,0,910,False,False,0
diario,18/05,0,0,620,1500,0,0,0,0,0,0,0,0,0,2120,False,False,0
diario,19/05,0,0,345,1100,120,210,0,0,0,0,0,0,0,1775,False,False,0
diario,20/05,0,0,620,0,780,0,0,0,0,0,0,0,0,1400,False,False,0
