tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,NC,total,low,prior,min
mensual,Mar-25,91,0,0,0,0,0,0,0,0,0,0,0,0,91,False,False,0
mensual,Abr-25,16519,3871,10160,0,0,0,0,0,0,0,0,0,0,30550,False,False,0
mensual,May-25,21259,11387,0,0,1500,0,0,0,0,0,0,0,0,34146,False,False,0
mensual,Jun-25,6291,5450,0,2476,13000,0,0,0,0,0,0,0,0,27217,False,False,0
mensual,Jul-25,124832,61790,4060,1777,50173,0,0,0,0,0,0,0,0,242632,False,False,0
mensual,Ago-25,58171,57063,483,4372,16715,300,0,0,0,0,0,0,0,137104,False,False,0
mensual,Sep-25,108376,68421,3540,12680,68535,1604,0,500,0,0,0,0,0,263656,False,False,0
mensual,Oct-25,77195,33678,7155,5829,89726,9996,575,0,0,0,0,0,60,224214,False,False,0
mensual,Nov-25,107492,44494,4528,209062,268852,45606,2300,0,0,0,0,0,0,682334,False,False,0
mensual,Dic-25,618919,44844,13627,174745,64617,5527,0,0,0,0,0,0,0,922279,False,False,0
mensual,Ene-26,910390,331388,87125,188107,43761,8530,2770,1000,4000,3000,0,0,0,1580071,False,False,0
mensual,Feb-26,456663,173875,26095,143930,180280,2720,11000,5100,10000,2000,0,0,0,1011663,False,False,0
mensual,Mar-26,933745,536919,82280,101995,131916,19764,75411,20510,56900,11220,0,0,26340,1997000,False,False,0
mensual,Abr-26,0,779124,212145,285114,92862,16810,47310,13220,8520,6430,2000,120,59006,1522661,False,False,0
diario,01/04,0,20748,370,1800,185,300,0,0,300,1300,0,0,0,25003,False,False,0
diario,06/04,0,93967,9687,1574,1040,3090,0,0,0,0,0,0,0,109358,False,False,0
diario,07/04,0,65863,12735,1516,2180,150,0,0,400,0,0,0,0,82844,False,False,0
diario,08/04,0,67508,13030,8820,5100,0,0,0,600,0,0,0,1000,96058,False,False,0
diario,09/04,0,56866,9715,8483,81,210,0,0,0,0,0,0,0,75355,False,False,0
diario,10/04,0,43174,16135,3210,510,0,0,0,0,0,0,0,2000,65029,False,False,0
diario,13/04,0,44889,9560,705,0,0,2500,0,0,0,2000,0,2000,61654,False,False,0
diario,14/04,0,41567,12050,6000,3000,0,3100,1800,0,0,0,0,305,67822,False,False,0
diario,15/04,0,29181,14772,68845,22940,2500,0,1000,3000,1000,0,0,3430,146668,False,False,0
diario,16/04,0,31201,305,14565,4708,2090,500,0,30,0,0,0,0,53399,False,False,0
diario,17/04,0,13070,4596,7050,1259,0,1500,0,500,0,0,0,1120,29095,False,False,0
diario,20/04,0,48252,7085,7670,180,0,3450,1500,450,30,0,0,1890,70507,False,False,0
diario,21/04,0,54722,38703,12600,2359,1120,1500,7420,240,1000,0,0,800,120464,False,False,0
diario,22/04,0,31825,13426,1400,1240,0,26700,300,0,200,0,0,775,75866,False,False,0
diario,23/04,0,12441,12050,9450,4740,0,0,1200,1500,0,0,120,961,42462,False,False,0
diario,24/04,0,23790,6260,8980,1800,350,1800,0,0,0,0,0,4410,47390,False,False,0
diario,27/04,0,52913,3210,2840,4120,0,0,0,0,0,0,0,2300,65383,False,False,0
diario,28/04,0,16880,13737,86178,18060,1000,4560,0,1500,2600,0,0,13775,158290,False,False,0
diario,29/04,0,18177,7680,17398,15360,500,1700,0,0,300,0,0,22330,83445,False,False,0
diario,30/04,0,11532,7039,15030,3000,5500,0,0,0,0,0,0,1910,44011,False,False,0
diario,04/05,0,0,21867,9201,8940,16440,300,0,0,2600,0,0,9610,68958,False,False,0
diario,05/05,0,0,30268,15770,4000,0,1000,2000,700,400,400,400,9730,64668,False,False,0
diario,06/05,0,0,24996,1290,300,0,2500,0,0,0,0,0,2640,31726,False,False,0
diario,07/05,0,0,40845,2280,800,35,0,0,0,300,0,0,3400,47660,False,False,0
diario,08/05,0,0,35549,5896,1505,4000,0,0,0,5000,0,0,270,52220,False,False,0
diario,11/05,0,0,20096,21927,17840,3600,0,0,0,0,0,0,160,63623,False,False,0
diario,12/05,0,0,33723,20795,10800,12000,1600,0,0,150,0,0,4012,83080,False,False,0
diario,13/05,0,0,35497,29378,4700,5000,0,0,0,1000,0,0,5380,80955,False,False,0
diario,14/05,0,0,13986,1290,0,0,5000,0,0,0,0,0,2446,22722,False,False,0
diario,15/05,0,0,9554,0,1270,0,500,0,0,300,0,0,1000,12624,False,False,0
diario,18/05,0,0,15210,26665,4000,0,0,0,0,0,0,0,1030,46905,False,False,0
diario,19/05,0,0,18038,15855,2000,11080,0,0,0,1400,0,0,690,49063,False,False,0
diario,20/05,0,0,7018,510,0,0,0,0,0,0,0,0,0,7528,False,False,0
