tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,total,low,prior,min
mensual,Mar-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Abr-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,May-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jun-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jul-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Ago-25,210,0,0,0,0,0,0,0,0,0,0,0,210,False,False,0
mensual,Sep-25,200,0,0,0,0,0,0,0,0,0,0,0,200,False,False,200
mensual,Oct-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,43
mensual,Nov-25,312,1273,858,0,0,0,0,0,0,0,0,0,2443,False,False,2443
mensual,Dic-25,2103,2351,4640,4673,347,0,0,0,0,0,0,0,14114,False,False,14114
mensual,Ene-26,21494,15018,21800,10420,13665,231,0,0,0,0,0,0,82628,False,False,82629
mensual,Feb-26,37883,18362,17045,15296,5046,5269,0,0,0,0,0,0,98901,False,False,98900
mensual,Mar-26,29442,8575,16545,15738,2171,0,0,0,0,0,0,0,72471,False,False,72471
mensual,Abr-26,0,26660,21638,9835,4827,810,0,0,0,0,0,0,63770,False,False,63771
diario,01/04,0,2383,97,129,0,0,0,0,0,0,0,0,2609,False,False,2609
diario,06/04,0,2964,938,4184,0,0,0,0,0,0,0,0,8086,False,False,8086
diario,07/04,0,6030,3095,539,539,0,0,0,0,0,0,0,10203,False,False,10203
diario,08/04,0,5089,4637,1078,1078,539,0,0,0,0,0,0,12421,False,False,12421
diario,09/04,0,786,755,0,129,0,0,0,0,0,0,0,1670,False,False,1670
diario,10/04,0,2049,2470,216,0,0,0,0,0,0,0,0,4735,False,False,4735
diario,13/04,0,903,2971,1618,971,539,0,0,0,0,0,0,7002,False,False,7002
diario,14/04,0,1024,0,248,324,0,0,0,0,0,0,0,1596,False,False,1596
diario,15/04,0,2051,453,216,647,0,0,0,0,0,0,0,3367,False,False,3367
diario,16/04,0,461,0,604,0,0,0,0,0,0,0,0,1065,False,False,1065
diario,17/04,0,412,971,0,0,0,0,0,0,0,0,0,1383,False,False,1383
diario,20/04,0,516,712,129,0,0,0,0,0,0,0,0,1357,False,False,1357
diario,21/04,0,1015,3284,151,0,0,0,0,0,0,0,0,4450,False,False,4450
diario,22/04,0,162,917,1494,518,0,0,0,0,0,0,0,3091,False,False,3091
diario,23/04,0,1087,2852,539,1402,0,0,0,0,0,0,0,5880,False,False,5880
diario,24/04,0,1530,0,0,0,0,0,0,0,0,0,0,1530,False,False,1530
diario,27/04,0,1452,3084,388,0,0,0,0,0,0,0,0,4924,False,False,4924
diario,28/04,0,908,388,266,820,0,0,0,0,0,0,0,2382,False,False,2382
diario,29/04,0,1947,324,647,0,0,0,0,0,0,0,0,2918,False,False,2918
diario,30/04,0,2631,863,0,0,0,0,0,0,0,0,0,3494,False,False,3494
diario,04/05,0,0,2555,658,0,0,0,0,0,0,0,0,3213,False,False,3213
diario,05/05,0,0,4128,0,0,0,0,0,0,0,0,0,4128,False,False,4128
diario,06/05,0,0,4295,0,0,0,0,0,0,0,0,0,4295,False,False,4295
diario,07/05,0,0,5459,324,0,0,0,0,0,0,0,0,5783,False,False,5783
diario,08/05,0,0,2057,0,0,0,0,0,0,0,0,0,2057,False,False,2057
diario,11/05,0,0,2151,0,0,0,0,0,0,0,0,0,2151,False,False,2151
diario,12/05,0,0,2522,97,0,0,0,0,0,0,0,0,2619,False,False,2619
diario,13/05,0,0,2536,539,194,0,0,0,0,0,0,0,3269,False,False,3269
diario,14/05,0,0,1231,0,800,0,0,0,0,0,0,0,2031,False,False,0
diario,15/05,0,0,4287,500,540,0,0,0,0,0,0,0,5327,False,False,0
diario,18/05,0,0,5045,120,0,0,0,0,0,0,0,0,5165,False,False,0
diario,19/05,0,0,7455,2180,0,0,0,0,0,0,0,0,9635,False,False,0
diario,20/05,0,0,355,120,0,0,0,0,0,0,0,0,475,False,False,0
