tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,total,low,prior,min
mensual,Mar-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Abr-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,May-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jun-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jul-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Ago-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Sep-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Oct-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Nov-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Dic-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Ene-26,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Feb-26,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Mar-26,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Abr-26,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,01/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,06/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,07/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,09/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,10/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,13/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,14/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,15/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,16/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,17/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,20/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,21/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,22/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,23/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,24/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,27/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,28/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,29/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,30/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,04/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,05/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,07/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,08/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,11/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,12/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,13/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,14/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,15/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,18/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,19/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,20/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,21/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,22/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
