tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,total,low,prior,min
mensual,Mar-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Abr-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,May-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jun-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jul-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Ago-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Sep-25,174,0,0,0,0,0,0,0,0,0,0,0,174,False,False,0
mensual,Oct-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Nov-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Dic-25,0,500,0,260,180,0,0,0,0,0,0,0,940,False,False,0
mensual,Ene-26,30,330,1160,560,1366,0,0,0,0,0,0,0,3446,False,False,0
mensual,Feb-26,510,0,750,330,100,300,0,0,0,0,0,0,1990,False,False,0
mensual,Mar-26,2999,90,1229,3410,900,0,0,0,0,0,0,0,8628,False,False,0
mensual,Abr-26,0,1036,920,100,560,0,0,0,0,0,0,0,2616,False,False,0
diario,01/04,0,96,0,0,0,0,0,0,0,0,0,0,96,False,False,0
diario,06/04,0,60,0,0,0,0,0,0,0,0,0,0,60,False,False,0
diario,07/04,0,0,500,0,0,0,0,0,0,0,0,0,500,False,False,0
diario,08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,09/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,10/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,13/04,0,30,15,0,0,0,0,0,0,0,0,0,45,False,False,0
diario,14/04,0,70,0,0,0,0,0,0,0,0,0,0,70,False,False,0
diario,15/04,0,90,190,0,0,0,0,0,0,0,0,0,280,False,False,0
diario,16/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,17/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,20/04,0,180,0,0,0,0,0,0,0,0,0,0,180,False,False,0
diario,21/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,22/04,0,0,0,100,0,0,0,0,0,0,0,0,100,False,False,0
diario,23/04,0,0,215,0,300,0,0,0,0,0,0,0,515,False,False,0
diario,24/04,0,13,0,0,0,0,0,0,0,0,0,0,13,False,False,0
diario,27/04,0,6,0,0,0,0,0,0,0,0,0,0,6,False,False,0
diario,28/04,0,0,0,0,260,0,0,0,0,0,0,0,260,False,False,0
diario,29/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,30/04,0,490,0,0,0,0,0,0,0,0,0,0,490,False,False,0
diario,04/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,05/05,0,0,180,0,0,0,0,0,0,0,0,0,180,False,False,0
diario,06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,07/05,0,0,945,0,0,0,0,0,0,0,0,0,945,False,False,0
diario,08/05,0,0,30,0,0,0,0,0,0,0,0,0,30,False,False,0
diario,11/05,0,0,214,0,0,0,0,0,0,0,0,0,214,False,False,0
diario,12/05,0,0,150,0,0,0,0,0,0,0,0,0,150,False,False,0
diario,13/05,0,0,20,0,0,0,0,0,0,0,0,0,20,False,False,0
diario,14/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,15/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,18/05,0,0,390,0,0,0,0,0,0,0,0,0,390,False,False,0
diario,19/05,0,0,90,0,0,0,0,0,0,0,0,0,90,False,False,0
diario,20/05,0,0,120,0,0,0,0,0,0,0,0,0,120,False,False,0
