tipo,label,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,2026_11,2026_12,2027_01,2027_02,total,low,prior,min
mensual,Mar-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Abr-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,May-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jun-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Jul-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Ago-25,210,0,0,0,0,0,0,0,0,0,0,0,210,False,False,0
mensual,Sep-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Oct-25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
mensual,Nov-25,120,489,330,0,0,0,0,0,0,0,0,0,939,False,False,0
mensual,Dic-25,3275,3160,7225,7016,360,0,0,0,0,0,0,0,21036,False,False,0
mensual,Ene-26,18555,12656,17690,8450,10450,200,0,0,0,0,0,0,68001,False,False,0
mensual,Feb-26,23216,11500,9925,9250,3060,3000,0,0,0,0,0,0,59951,False,False,0
mensual,Mar-26,43934,13580,25145,21678,2560,0,0,0,0,0,0,0,106897,False,False,0
mensual,Abr-26,0,31879,25795,12042,5400,1000,0,0,0,0,0,0,76116,False,False,0
diario,01/04,0,2113,90,120,0,0,0,0,0,0,0,0,2323,False,False,0
diario,06/04,0,2688,870,3880,0,0,0,0,0,0,0,0,7438,False,False,0
diario,07/04,0,5592,2370,500,500,0,0,0,0,0,0,0,8962,False,False,0
diario,08/04,0,4719,4300,1000,1000,500,0,0,0,0,0,0,11519,False,False,0
diario,09/04,0,729,700,0,120,0,0,0,0,0,0,0,1549,False,False,0
diario,10/04,0,1900,2290,200,0,0,0,0,0,0,0,0,4390,False,False,0
diario,13/04,0,807,2740,1500,900,500,0,0,0,0,0,0,6447,False,False,0
diario,14/04,0,880,0,230,300,0,0,0,0,0,0,0,1410,False,False,0
diario,15/04,0,1812,230,200,600,0,0,0,0,0,0,0,2842,False,False,0
diario,16/04,0,427,0,560,0,0,0,0,0,0,0,0,987,False,False,0
diario,17/04,0,382,900,0,0,0,0,0,0,0,0,0,1282,False,False,0
diario,20/04,0,299,660,120,0,0,0,0,0,0,0,0,1079,False,False,0
diario,21/04,0,941,3045,140,0,0,0,0,0,0,0,0,4126,False,False,0
diario,22/04,0,150,850,1285,480,0,0,0,0,0,0,0,2765,False,False,0
diario,23/04,0,1008,2430,500,1000,0,0,0,0,0,0,0,4938,False,False,0
diario,24/04,0,1406,0,0,0,0,0,0,0,0,0,0,1406,False,False,0
diario,27/04,0,1340,2860,360,0,0,0,0,0,0,0,0,4560,False,False,0
diario,28/04,0,842,360,247,500,0,0,0,0,0,0,0,1949,False,False,0
diario,29/04,0,1806,300,600,0,0,0,0,0,0,0,0,2706,False,False,0
diario,30/04,0,1950,800,0,0,0,0,0,0,0,0,0,2750,False,False,0
diario,04/05,0,0,2369,610,0,0,0,0,0,0,0,0,2979,False,False,0
diario,05/05,0,0,3648,0,0,0,0,0,0,0,0,0,3648,False,False,0
diario,06/05,0,0,3983,0,0,0,0,0,0,0,0,0,3983,False,False,0
diario,07/05,0,0,4117,300,0,0,0,0,0,0,0,0,4417,False,False,0
diario,08/05,0,0,1878,0,0,0,0,0,0,0,0,0,1878,False,False,0
diario,11/05,0,0,1780,0,0,0,0,0,0,0,0,0,1780,False,False,0
diario,12/05,0,0,2189,90,0,0,0,0,0,0,0,0,2279,False,False,0
diario,13/05,0,0,2331,500,180,0,0,0,0,0,0,0,3011,False,False,0
diario,14/05,0,0,1231,0,800,0,0,0,0,0,0,0,2031,False,False,0
diario,15/05,0,0,4287,500,540,0,0,0,0,0,0,0,5327,False,False,0
diario,18/05,0,0,4718,120,0,0,0,0,0,0,0,0,4838,False,False,0
diario,19/05,0,0,7365,2180,0,0,0,0,0,0,0,0,9545,False,False,0
diario,20/05,0,0,4030,120,0,0,0,0,0,0,0,0,4150,False,False,0
diario,21/05,0,0,480,0,0,0,0,0,0,0,0,0,480,False,False,0
