tipo,label,2025_11,2025_12,2026_01,2026_02,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,NC,total,low,prior,min
mensual,Mar-25,16184,55901,2564,0,630,0,0,0,0,0,0,0,0,75279,False,False,0
mensual,Abr-25,3625,20810,1598,0,0,81,0,0,0,0,0,0,0,26114,False,False,26114
mensual,May-25,14538,46382,11794,0,0,0,0,0,0,0,0,0,0,72714,False,False,72714
mensual,Jun-25,149792,109058,13171,0,0,0,208,0,0,0,0,0,0,272229,False,False,272229
mensual,Jul-25,46695,51530,10555,2723,667,0,0,0,0,0,0,0,0,112170,False,False,112171
mensual,Ago-25,83867,88182,23794,267,260,0,0,0,0,0,0,0,400,196770,False,False,196371
mensual,Sep-25,343061,370474,103836,14048,4698,0,331,0,0,0,0,8652,0,845100,False,False,845100
mensual,Oct-25,515814,780700,240182,22972,22880,1043,0,0,0,0,0,323,450,1584364,False,False,1583914
mensual,Nov-25,1036904,492960,152275,66609,54404,0,0,0,77,0,0,0,300,1803529,False,False,1803229
mensual,Dic-25,0,1435467,1148585,247016,120400,7815,865,865,2172,0,0,0,2640,2965825,False,False,2963186
mensual,Ene-26,0,0,1524175,508533,151377,24314,1653,1560,1887,0,0,0,2601,2216100,False,False,2213500
mensual,Feb-26,0,0,0,847099,349122,59293,4952,3176,29992,522,522,522,92425,1387625,False,False,1295200
mensual,Mar-26,0,0,0,0,739157,104926,40500,50910,21078,538,538,826,370920,1329393,False,False,958471
mensual,Abr-26,0,0,0,0,0,522872,60511,115569,35179,0,0,0,483256,1217387,False,False,0
diario,01/04,0,0,0,0,0,429711,65313,48792,16704,0,0,0,11151,571671,False,False,560520
diario,06/04,0,0,0,0,0,368002,55290,18007,50112,0,0,0,290,491701,False,False,491411
diario,07/04,0,0,0,0,0,681846,11859,241540,89283,0,0,0,3293,1027821,False,False,1024528
diario,08/04,0,0,0,0,0,629453,79010,60970,114840,0,0,0,3788,888061,False,False,884273
diario,09/04,0,0,0,0,0,568254,46354,151840,74166,0,0,0,1610,842224,False,False,840614
diario,10/04,0,0,0,0,0,590247,37501,128755,60602,0,0,0,2255,819360,False,False,817105
diario,13/04,0,0,0,0,0,462939,1002,32740,14700,0,0,0,2100,513481,False,False,511381
diario,14/04,0,0,0,0,0,549187,54121,93376,15557,0,0,0,12800,725041,False,False,712241
diario,15/04,0,0,0,0,0,309347,68152,111082,23903,0,0,0,7015,519499,False,False,512484
diario,16/04,0,0,0,0,0,480061,10858,0,36929,0,0,0,100109,627957,False,False,527848
diario,17/04,0,0,0,0,0,287487,108910,66816,11659,0,0,0,35274,510146,False,False,474872
diario,20/04,0,0,0,0,0,364553,100241,16704,14031,0,0,0,3198,498727,False,False,495529
diario,21/04,0,0,0,0,0,395892,44266,126951,0,0,0,0,2220,569329,False,False,567109
diario,22/04,0,0,0,0,0,369465,76504,218238,13363,0,0,0,5620,683190,False,False,677570
diario,23/04,0,0,0,0,0,440317,29733,179485,11693,0,0,0,5615,666843,False,False,661228
diario,24/04,0,0,0,0,0,516011,9688,207334,1002,0,0,0,13110,747145,False,False,734035
diario,27/04,0,0,0,0,0,296571,126283,46187,4510,0,0,0,18660,492211,False,False,473551
diario,28/04,0,0,0,0,0,290564,33909,27061,15368,0,0,0,64303,431205,False,False,366902
diario,29/04,0,0,0,0,0,327060,32239,48108,0,0,0,0,181779,589186,False,False,407407
diario,30/04,0,0,0,0,0,350403,19544,106488,19210,0,0,0,9016,504661,False,False,495645
diario,04/05,0,0,0,0,0,0,436839,61304,137641,0,0,0,40884,676668,False,False,635784
diario,05/05,0,0,0,0,0,0,962025,29399,373502,0,0,0,9485,1374411,False,False,1364926
diario,06/05,0,0,0,0,0,0,451921,364014,642855,0,0,0,9230,1468020,False,False,1458790
diario,07/05,0,0,0,0,0,0,315203,23720,282382,0,0,0,10019,631324,False,False,621305
diario,08/05,0,0,0,0,0,0,372392,59717,101226,0,0,0,8280,541615,False,False,533335
diario,11/05,0,0,0,0,0,0,338686,193416,311597,0,0,0,11165,854864,False,False,843699
diario,12/05,0,0,0,0,0,0,213987,173054,132463,0,0,0,106658,626162,False,False,519504
diario,13/05,0,0,0,0,0,0,459662,243962,34911,0,0,0,15700,754235,False,False,738535
diario,14/05,0,0,0,0,0,0,22770,19460,1470,0,0,0,5802,49502,False,False,0
diario,15/05,0,0,0,0,0,0,19469,4830,4990,0,0,0,3040,32329,False,False,0
diario,18/05,0,0,0,0,0,0,22720,3610,1310,0,0,0,5940,33580,False,False,0
diario,19/05,0,0,0,0,0,0,25860,6095,4240,0,0,0,2484,38679,False,False,0
diario,20/05,0,0,0,0,0,0,10136,1230,0,0,0,0,210,11576,False,False,0
