tipo,label,2025_11,2025_12,2026_01,2026_02,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,NC,total,low,prior,min
mensual,Mar-25,0,0,1368,0,0,0,0,0,0,0,0,0,0,1368,False,False,0
mensual,Abr-25,0,514,0,0,0,0,0,0,0,0,0,0,0,514,False,False,0
mensual,May-25,1400,99708,19425,0,0,0,0,0,0,0,0,0,0,120533,False,False,0
mensual,Jun-25,75,12478,3710,0,0,0,0,0,0,0,0,0,0,16263,False,False,0
mensual,Jul-25,0,6620,3996,0,0,0,0,0,0,0,0,0,0,10616,False,False,0
mensual,Ago-25,0,5559,2451,0,0,0,0,0,0,0,0,0,0,8010,False,False,0
mensual,Sep-25,400,32624,14355,4000,430,0,383,0,0,0,0,0,0,52192,False,False,0
mensual,Oct-25,200,140763,31128,2132,0,500,0,0,0,0,0,0,0,174723,False,False,0
mensual,Nov-25,21690,70485,8436,180,1750,0,0,0,0,0,0,0,0,102541,False,False,0
mensual,Dic-25,0,105283,70192,15620,10860,0,0,0,0,0,0,0,0,201955,False,False,0
mensual,Ene-26,0,0,376077,95254,25950,6000,0,0,0,0,0,0,0,503281,False,False,0
mensual,Feb-26,0,0,0,97692,70456,6920,0,0,0,0,0,0,640,175708,False,False,0
mensual,Mar-26,0,0,0,0,147978,34768,720,956,0,0,0,0,22310,206732,False,False,0
mensual,Abr-26,0,0,0,0,0,66931,10575,3000,600,0,0,0,17545,98651,False,False,0
diario,01/04,0,0,0,0,0,5319,0,0,0,0,0,0,400,5719,False,False,0
diario,06/04,0,0,0,0,0,1853,0,0,0,0,0,0,0,1853,False,False,0
diario,07/04,0,0,0,0,0,10012,0,0,0,0,0,0,0,10012,False,False,0
diario,08/04,0,0,0,0,0,6626,0,0,0,0,0,0,0,6626,False,False,0
diario,09/04,0,0,0,0,0,3440,1760,0,0,0,0,0,0,5200,False,False,0
diario,10/04,0,0,0,0,0,4948,865,0,0,0,0,0,0,5813,False,False,0
diario,13/04,0,0,0,0,0,3648,0,0,0,0,0,0,0,3648,False,False,0
diario,14/04,0,0,0,0,0,2978,0,0,0,0,0,0,0,2978,False,False,0
diario,15/04,0,0,0,0,0,1509,0,0,0,0,0,0,0,1509,False,False,0
diario,16/04,0,0,0,0,0,1165,0,0,0,0,0,0,2050,3215,False,False,0
diario,17/04,0,0,0,0,0,1477,780,0,0,0,0,0,1980,4237,False,False,0
diario,20/04,0,0,0,0,0,1947,100,0,0,0,0,0,0,2047,False,False,0
diario,21/04,0,0,0,0,0,4172,600,0,0,0,0,0,0,4772,False,False,0
diario,22/04,0,0,0,0,0,1027,1650,0,0,0,0,0,0,2677,False,False,0
diario,23/04,0,0,0,0,0,3680,0,0,0,0,0,0,0,3680,False,False,0
diario,24/04,0,0,0,0,0,4222,0,0,0,0,0,0,0,4222,False,False,0
diario,27/04,0,0,0,0,0,2999,2080,0,0,0,0,0,1060,6139,False,False,0
diario,28/04,0,0,0,0,0,2678,1720,0,600,0,0,0,0,4998,False,False,0
diario,29/04,0,0,0,0,0,1322,300,0,0,0,0,0,11805,13427,False,False,0
diario,30/04,0,0,0,0,0,1909,720,3000,0,0,0,0,250,5879,False,False,0
diario,04/05,0,0,0,0,0,0,3591,0,0,0,0,0,2780,6371,False,False,0
diario,05/05,0,0,0,0,0,0,39397,0,0,0,0,0,2100,41497,False,False,0
diario,06/05,0,0,0,0,0,0,2535,2950,4850,0,0,0,0,10335,False,False,0
diario,07/05,0,0,0,0,0,0,425,1060,3970,0,0,0,150,5605,False,False,0
diario,08/05,0,0,0,0,0,0,148,0,1110,0,0,0,0,1258,False,False,0
diario,11/05,0,0,0,0,0,0,424,3300,2634,0,0,0,5010,11368,False,False,0
diario,12/05,0,0,0,0,0,0,222,0,6630,0,0,0,4890,11742,False,False,0
diario,13/05,0,0,0,0,0,0,2521,90,1340,0,0,0,2000,5951,False,False,0
diario,14/05,0,0,0,0,0,0,660,150,870,0,0,0,0,1680,False,False,0
diario,15/05,0,0,0,0,0,0,1753,660,4660,0,0,0,381,7454,False,False,0
diario,18/05,0,0,0,0,0,0,994,0,780,0,0,0,0,1774,False,False,0
diario,19/05,0,0,0,0,0,0,273,0,2360,0,0,0,0,2633,False,False,0
diario,20/05,0,0,0,0,0,0,540,0,0,0,0,0,119,659,False,False,0
