tipo,label,NDJ,FMA,MJJ,ASO,NC,total,low,prior,min
mensual,Mar-25,45829,0,0,0,0,45829,False,False,0
mensual,Abr-25,40241,0,0,0,0,40241,False,False,0
mensual,May-25,54327,0,0,0,0,54327,False,False,0
mensual,Jun-25,134912,0,312,0,0,135224,False,False,0
mensual,Jul-25,74785,1000,0,0,0,75785,False,False,0
mensual,Ago-25,108950,690,0,0,0,109640,False,False,0
mensual,Sep-25,316924,800,0,0,0,317724,False,False,0
mensual,Oct-25,355461,6157,0,300,300,362218,False,False,0
mensual,Nov-25,633848,48400,0,0,0,682248,False,False,0
mensual,Dic-25,872280,50974,480,0,240,923974,False,False,0
mensual,Ene-26,700847,198022,2300,0,2280,903449,False,False,0
mensual,Feb-26,0,464664,3670,1500,38671,508505,False,False,0
mensual,Mar-26,0,330508,11730,1500,121043,464781,False,False,0
mensual,Abr-26,0,331946,14218,0,117422,463586,False,False,0
diario,01/04,0,11681,2421,0,291,14393,False,False,0
diario,06/04,0,16568,778,0,200,17546,False,False,0
diario,07/04,0,19752,700,0,863,21315,False,False,0
diario,08/04,0,22507,600,0,688,23795,False,False,0
diario,09/04,0,19764,600,0,1550,21914,False,False,0
diario,10/04,0,23960,286,0,2010,26256,False,False,0
diario,13/04,0,16182,400,0,2100,18682,False,False,0
diario,14/04,0,24711,529,0,4500,29740,False,False,0
diario,15/04,0,13199,251,0,1635,15085,False,False,0
diario,16/04,0,18244,361,0,39766,58371,False,False,0
diario,17/04,0,12288,150,0,3400,15838,False,False,0
diario,20/04,0,14497,270,0,1878,16645,False,False,0
diario,21/04,0,15042,0,0,1110,16152,False,False,0
diario,22/04,0,15692,2150,0,3000,20842,False,False,0
diario,23/04,0,16564,850,0,775,18189,False,False,0
diario,24/04,0,20586,242,0,1730,22558,False,False,0
diario,27/04,0,10456,420,0,9736,20612,False,False,0
diario,28/04,0,10714,310,0,6563,17587,False,False,0
diario,29/04,0,13301,1500,0,33060,47861,False,False,0
diario,30/04,0,14756,1400,0,2516,18672,False,False,0
diario,04/05,0,0,14561,0,6334,20895,False,False,0
diario,05/05,0,0,17356,0,4690,22046,False,False,0
diario,06/05,0,0,21546,0,1480,23026,False,False,0
diario,07/05,0,0,14573,0,2612,17185,False,False,0
diario,08/05,0,0,14071,0,155,14226,False,False,0
diario,11/05,0,0,17418,0,2000,19418,False,False,0
diario,12/05,0,0,11648,0,21189,32837,False,False,0
diario,13/05,0,0,23608,0,2440,26048,False,False,0
diario,14/05,0,0,18401,0,60,18461,False,False,0
diario,15/05,0,0,11246,0,350,11596,False,False,0
diario,18/05,0,0,14357,0,1000,15357,False,False,0
