tipo,label,2025_11,2025_12,2026_01,2026_02,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,NC,total,low,prior,min
mensual,Mar-25,7868,15881,0,0,630,0,0,0,0,0,0,0,0,24379,False,False,0
mensual,Abr-25,13191,67936,739,0,0,0,0,0,0,0,0,0,0,81866,False,False,0
mensual,May-25,63739,116819,34060,0,0,0,0,0,0,0,0,0,0,214618,False,False,0
mensual,Jun-25,179221,65214,4610,0,0,0,0,0,0,0,0,0,0,249045,False,False,0
mensual,Jul-25,78963,59583,7921,5120,1500,0,0,0,0,0,0,0,0,153087,False,False,0
mensual,Ago-25,100765,39353,27464,100,0,0,0,0,0,0,0,0,0,167682,False,False,0
mensual,Sep-25,281140,179611,65480,12238,4200,0,0,0,0,0,0,10000,0,552669,False,False,0
mensual,Oct-25,405007,313131,97507,13442,19382,318,0,0,0,0,0,0,150,848937,False,False,0
mensual,Nov-25,635822,174527,88889,26750,45350,0,0,0,80,0,0,0,300,971718,False,False,0
mensual,Dic-25,0,674306,916844,188485,105215,8250,700,700,2360,0,0,0,2400,1899260,False,False,0
mensual,Ene-26,0,0,674229,342590,115374,23430,1820,2000,350,0,0,0,321,1160114,False,False,0
mensual,Feb-26,0,0,0,244619,149858,38148,3940,2000,26880,0,0,0,52514,517959,False,False,0
mensual,Mar-26,0,0,0,0,187319,31768,35590,40683,14920,0,0,268,208847,519395,False,False,0
mensual,Abr-26,0,0,0,0,0,98788,35486,109070,29330,0,0,0,330850,603524,False,False,0
diario,01/04,0,0,0,0,0,4302,3670,1740,0,0,0,0,10460,20172,False,False,0
diario,06/04,0,0,0,0,0,3138,2300,800,3000,0,0,0,90,9328,False,False,0
diario,07/04,0,0,0,0,0,10203,270,13900,5345,0,0,0,2430,32148,False,False,0
diario,08/04,0,0,0,0,0,6650,4730,3560,6365,0,0,0,3100,24405,False,False,0
diario,09/04,0,0,0,0,0,7659,1015,9090,3840,0,0,0,0,21604,False,False,0
diario,10/04,0,0,0,0,0,6337,720,7600,3520,0,0,0,245,18422,False,False,0
diario,13/04,0,0,0,0,0,7531,0,1960,480,0,0,0,0,9971,False,False,0
diario,14/04,0,0,0,0,0,3111,2440,5090,902,0,0,0,8300,19843,False,False,0
diario,15/04,0,0,0,0,0,3610,4080,6050,1180,0,0,0,5380,20300,False,False,0
diario,16/04,0,0,0,0,0,7931,650,0,1850,0,0,0,51983,62414,False,False,0
diario,17/04,0,0,0,0,0,3366,5590,4000,698,0,0,0,29894,43548,False,False,0
diario,20/04,0,0,0,0,0,5291,5871,1000,600,0,0,0,1320,14082,False,False,0
diario,21/04,0,0,0,0,0,4296,1050,7600,0,0,0,0,1110,14056,False,False,0
diario,22/04,0,0,0,0,0,5180,780,13065,800,0,0,0,2620,22445,False,False,0
diario,23/04,0,0,0,0,0,5898,1530,10745,100,0,0,0,4840,23113,False,False,0
diario,24/04,0,0,0,0,0,4084,580,12230,0,0,0,0,11380,28274,False,False,0
diario,27/04,0,0,0,0,0,2989,30,2765,180,0,0,0,7834,13798,False,False,0
diario,28/04,0,0,0,0,0,2522,0,1620,320,0,0,0,54290,58752,False,False,0
diario,29/04,0,0,0,0,0,3042,130,2880,0,0,0,0,129574,135626,False,False,0
diario,30/04,0,0,0,0,0,1619,50,3375,150,0,0,0,6000,11194,False,False,0
diario,04/05,0,0,0,0,0,0,2975,3670,8090,0,0,0,30650,45385,False,False,0
diario,05/05,0,0,0,0,0,0,1737,1260,21060,0,0,0,2635,26692,False,False,0
diario,06/05,0,0,0,0,0,0,7250,16980,30960,0,0,0,7750,62940,False,False,0
diario,07/05,0,0,0,0,0,0,5733,180,10265,0,0,0,7257,23435,False,False,0
diario,08/05,0,0,0,0,0,0,9729,2190,4150,0,0,0,8125,24194,False,False,0
diario,11/05,0,0,0,0,0,0,3512,7079,16020,0,0,0,3655,30266,False,False,0
diario,12/05,0,0,0,0,0,0,3999,5750,300,0,0,0,80429,90478,False,False,0
diario,13/05,0,0,0,0,0,0,4435,11025,750,0,0,0,11020,27230,False,False,0
diario,14/05,0,0,0,0,0,0,2915,19310,500,0,0,0,5442,28167,False,False,0
diario,15/05,0,0,0,0,0,0,4641,3820,330,0,0,0,690,9481,False,False,0
diario,18/05,0,0,0,0,0,0,3886,3410,0,0,0,0,3010,10306,False,False,0
diario,19/05,0,0,0,0,0,0,7894,5735,725,0,0,0,1884,16238,False,False,0
diario,20/05,0,0,0,0,0,0,2743,6075,770,0,0,0,420,10008,False,False,0
diario,21/05,0,0,0,0,0,0,20,0,0,0,0,0,0,20,False,False,0
