fecha,provincia,localidad,tn
2024-12-16,BUENOS AIRES,OTAMENDI,205
2025-01-09,BUENOS AIRES,ORIENTE,200
2025-03-25,BUENOS AIRES,BAJO HONDO,3759
2025-04-23,BUENOS AIRES,NECOCHEA,180
2025-04-24,BUENOS AIRES,BAJO HONDO,3149
2025-04-24,BUENOS AIRES,TANDIL,300
2025-04-25,BUENOS AIRES,TANDIL,146
2025-04-29,BUENOS AIRES,CORONEL DORREGO,402
2025-04-30,BUENOS AIRES,CORONEL DORREGO,807
2025-05-06,BUENOS AIRES,BAJO HONDO,611
2025-05-07,BUENOS AIRES,QUEQUEN,740
2025-05-16,BUENOS AIRES,NECOCHEA,750
2025-05-19,BUENOS AIRES,LOBERIA,300
2025-05-22,BUENOS AIRES,BALCARCE,11
2025-05-23,BUENOS AIRES,NECOCHEA,2160
2025-05-27,BUENOS AIRES,CORONEL DORREGO,2230
2025-06-03,BUENOS AIRES,JUAN N. FERNANDEZ,90
2025-06-09,BUENOS AIRES,PIGUE,55
2025-06-10,BUENOS AIRES,TANDIL,90
2025-06-13,BUENOS AIRES,LOBERIA,26
2025-06-18,BUENOS AIRES,CARLOS CASARES,200
2025-06-18,BUENOS AIRES,PEHUAJO,42
2025-06-18,BUENOS AIRES,QUEQUEN,90
2025-06-24,BUENOS AIRES,LOBERIA,120
2025-06-24,BUENOS AIRES,PEHUAJO,10
2025-06-24,BUENOS AIRES,TRES ARROYOS,68
2025-07-03,BUENOS AIRES,LOBERIA,164
2025-07-04,BUENOS AIRES,AZUL,300
2025-07-10,BUENOS AIRES,JUAN N. FERNANDEZ,120
2025-07-10,BUENOS AIRES,LOBERIA,33
2025-07-10,BUENOS AIRES,NECOCHEA,231
2025-07-10,BUENOS AIRES,SAN CAYETANO,392
2025-07-14,BUENOS AIRES,NECOCHEA,90
2025-07-15,BUENOS AIRES,LA DULCE,120
2025-07-16,BUENOS AIRES,CORONEL SUAREZ,300
2025-07-18,BUENOS AIRES,QUEQUEN,800
2025-07-21,BUENOS AIRES,NECOCHEA,329
2025-07-22,BUENOS AIRES,AZUL,315
2025-07-22,BUENOS AIRES,LOBERIA,60
2025-07-22,BUENOS AIRES,QUEQUEN,340
2025-07-23,BUENOS AIRES,LOBERIA,164
2025-07-23,BUENOS AIRES,MAR DEL PLATA,60
2025-07-23,BUENOS AIRES,NECOCHEA,211
2025-07-25,BUENOS AIRES,BAJO HONDO,2006
2025-07-28,BUENOS AIRES,QUEQUEN,53
2025-07-28,BUENOS AIRES,SALDUNGARAY,120
2025-07-31,BUENOS AIRES,AZUL,1362
2025-08-01,BUENOS AIRES,ADOLFO GONZALES CHAVEZ,106
2025-08-01,BUENOS AIRES,NECOCHEA,380
2025-08-04,BUENOS AIRES,BAHIA BLANCA,60
2025-08-04,BUENOS AIRES,CORONEL DORREGO,90
2025-08-04,BUENOS AIRES,HUANGUELEN,2500
2025-08-04,BUENOS AIRES,JUAN N. FERNANDEZ,90
