fecha,provincia,localidad,tn
2024-12-06,CHACO,PAMPA DEL INFIERNO,2000
2025-02-24,ENTRE RÍOS,CUCHILLA REDONDA,29
2025-03-14,ENTRE RÍOS,DIAMANTE,29
2025-03-17,BUENOS AIRES,SAN ANTONIO DE ARECO,120
2025-03-27,BUENOS AIRES,ARRIBEÑOS,583
2025-03-28,BUENOS AIRES,GENERAL VILLEGAS,360
2025-03-28,SANTA FE,RUFINO,58
2025-03-31,BUENOS AIRES,GENERAL VILLEGAS,500
2025-03-31,CÓRDOBA,ALEJANDRO ROCA,189
2025-03-31,CÓRDOBA,BELL VILLE,122
2025-03-31,SANTA FE,MERCEDITAS,91
2025-04-01,BUENOS AIRES,TRENQUE LAUQUEN,558
2025-04-01,SANTA FE,WHEELWRIGHT,322
2025-04-03,BUENOS AIRES,LOBOS,300
2025-04-03,LA PAMPA,CATRILO,2000
2025-04-04,SANTA FE,SAN JUSTO,800
2025-04-08,CÓRDOBA,ORDOÑEZ,328
2025-04-08,CÓRDOBA,VIVERO,3000
2025-04-08,ENTRE RÍOS,DIAMANTE,1000
2025-04-08,ENTRE RÍOS,LA PAZ,10000
2025-04-08,ENTRE RÍOS,TALITAS (APEADERO FC,150
2025-04-08,ENTRE RÍOS,URDINARRAIN,2000
2025-04-09,BUENOS AIRES,JUNIN,120
2025-04-09,BUENOS AIRES,PEHUAJO,600
2025-04-09,CÓRDOBA,VILLA MARIA (DPTO. G,36
2025-04-09,SANTA FE,SAN JUSTO,300
2025-04-10,BUENOS AIRES,CARABELAS,1980
2025-04-11,CÓRDOBA,SINSACATE,1905
2025-04-11,CÓRDOBA,VILLA HUIDOBRO,642
2025-04-14,CÓRDOBA,MONTE BUEY,60
2025-04-14,CÓRDOBA,RIO PRIMERO,1000
2025-04-15,BUENOS AIRES,ROJAS,323
2025-04-15,SANTA FE,BOUQUET,90
2025-04-15,SANTA FE,LAS ROSAS,10160
2025-04-15,SANTA FE,VIDELA,300
2025-04-16,CÓRDOBA,MONTE MAIZ,90
2025-04-16,SANTA FE,SAN JORGE,400
2025-04-16,SANTA FE,VENADO TUERTO,1000
2025-04-23,BUENOS AIRES,JUNIN,789
2025-04-24,BUENOS AIRES,LUJAN,1716
2025-04-24,SAN LUIS,LUJAN,654
2025-04-25,BUENOS AIRES,PERGAMINO,1
2025-04-25,CÓRDOBA,JUSTINIANO POSSE,328
2025-04-28,CÓRDOBA,VILLA DEL ROSARIO,243
2025-04-28,LA PAMPA,CATRILO,1139
2025-04-28,SANTIAGO DEL ESTERO,QUIMILI,168
2025-04-30,BUENOS AIRES,SARASA,613
2025-04-30,CÓRDOBA,MONTE BUEY,790
2025-04-30,ENTRE RÍOS,ALDEA PROTESTANTE,190
2025-04-30,ENTRE RÍOS,HERNANDARIAS,268
2025-04-30,SANTA FE,FUNES,633
2025-04-30,SANTA FE,MURPHY,2500
2025-05-05,CÓRDOBA,LAS ACEQUIAS,113
2025-05-05,SAN LUIS,JUSTO DARACT,2100
2025-05-07,SANTA FE,BOUQUET,90
2025-05-07,SANTA FE,CASILDA,500
2025-05-08,BUENOS AIRES,ARRIBEÑOS,805
2025-05-08,BUENOS AIRES,CARABELAS,337
2025-05-08,BUENOS AIRES,SARASA,559
2025-05-08,SANTA FE,MARIA SUSANA,30
2025-05-09,CÓRDOBA,INRIVILLE,750
2025-05-09,SANTA FE,VENADO TUERTO,750
2025-05-09,SANTIAGO DEL ESTERO,BANDERA,297
2025-05-12,BUENOS AIRES,GENERAL VILLEGAS,394
2025-05-12,CÓRDOBA,GUATIMOZIN,413
2025-05-12,CÓRDOBA,LA BARRANQUITA,200
2025-05-12,SANTA FE,COLONIA JOSEFINA,631
2025-05-13,BUENOS AIRES,VEDIA,301
2025-05-13,CÓRDOBA,MONTE MAIZ,1770
2025-05-14,SANTA FE,SANTA ISABEL,1500
2025-05-15,SANTA FE,CAÑADA DE GOMEZ,60
2025-05-16,BUENOS AIRES,ROJAS,1000
2025-05-19,BUENOS AIRES,ARRIBEÑOS,1161
2025-05-19,CÓRDOBA,ALEJO LEDESMA,553
2025-05-19,CÓRDOBA,GUATIMOZIN,618
2025-05-19,CÓRDOBA,MORRISON,290
2025-05-19,SANTA FE,VENADO TUERTO,2500
2025-05-20,BUENOS AIRES,ARRIBEÑOS,137
2025-05-20,BUENOS AIRES,PERGAMINO,28
2025-05-20,CÓRDOBA,CORDOBA,500
2025-05-20,SANTA FE,VENADO TUERTO,500
2025-05-21,CÓRDOBA,JUSTINIANO POSSE,300
2025-05-21,ENTRE RÍOS,LA PAZ,5000
2025-05-21,SANTA FE,VENADO TUERTO,200
2025-05-22,BUENOS AIRES,COLON,108
2025-05-22,CÓRDOBA,MONTE RALO,300
2025-05-22,SANTA FE,MURPHY,30
2025-05-23,BUENOS AIRES,ARRIBEÑOS,43
2025-05-23,SANTA FE,LAS ROSAS,6350
2025-05-23,SANTIAGO DEL ESTERO,LOS JURIES,82
2025-05-26,BUENOS AIRES,ARRIBEÑOS,8
2025-05-26,CÓRDOBA,CORDOBA,30
2025-05-26,CÓRDOBA,VILLA HUIDOBRO,62
2025-05-26,SANTA FE,MURPHY,27
2025-05-26,SANTA FE,SANTA FE,33
2025-05-27,LA PAMPA,CATRILO,304
2025-05-28,BUENOS AIRES,GENERAL VILLEGAS,500
2025-05-28,BUENOS AIRES,LINCOLN,500
2025-05-28,CÓRDOBA,ELENA,125
2025-05-28,CÓRDOBA,NOETINGER,863
2025-05-28,CÓRDOBA,RIO CUARTO,386
2025-05-28,SAN LUIS,LUJAN,1121
2025-05-28,SANTA FE,CHAPUY,1000
2025-05-28,SANTA FE,ELORTONDO,77
2025-05-28,SANTA FE,RUFINO,1400
2025-05-28,SANTA FE,SAN LORENZO,2820
2025-05-29,BUENOS AIRES,BELLOCQ,333
2025-05-29,BUENOS AIRES,BRAGADO,111
2025-05-29,BUENOS AIRES,CARLOS CASARES,3000
2025-05-29,BUENOS AIRES,LINCOLN,560
2025-05-29,BUENOS AIRES,SALTO,1017
2025-05-29,CÓRDOBA,BERROTARAN,30
2025-05-29,CÓRDOBA,MONTE BUEY,734
2025-05-29,CÓRDOBA,SANTA MARIA (ALDEA S,120
2025-05-29,ENTRE RÍOS,RINCON DE NOGOYA,500
2025-05-29,ENTRE RÍOS,VICTORIA,500
2025-05-29,SANTA FE,ALVEAR,556
2025-05-29,SANTA FE,CHAPUY,7000
2025-05-29,SANTA FE,SAN MARCOS DE VENADO,778
2025-05-29,SANTA FE,SANTA FE,3722
2025-05-30,SANTA FE,VENADO TUERTO,3
2025-06-02,BUENOS AIRES,SARASA,665
2025-06-02,BUENOS AIRES,VEDIA,26
2025-06-02,CÓRDOBA,HUINCA RENANCO,232
2025-06-02,CÓRDOBA,INRIVILLE,436
2025-06-02,CÓRDOBA,MALAGUEÑO,200
2025-06-02,ENTRE RÍOS,VICTORIA,391
2025-06-02,ENTRE RÍOS,VILLAGUAY,127
2025-06-03,CÓRDOBA,MONTE CRISTO,1000
2025-06-03,CÓRDOBA,VILLA HUIDOBRO,572
2025-06-03,ENTRE RÍOS,GUALEGUAYCHU,222
2025-06-03,ENTRE RÍOS,PASO DE LA ARENA,204
2025-06-03,ENTRE RÍOS,SAN SALVADOR,123
2025-06-04,CÓRDOBA,CANALS,125
