fecha,provincia,localidad,tn
2025-01-30,SANTA FE,ZENON PEREYRA,510
2025-06-24,CÓRDOBA,WENCESLAO ESCALANTE,150
2025-07-02,CÓRDOBA,VILLA DEL TOTORAL,150
2025-08-12,CHACO,PAMPA DEL INFIERNO,5
2025-08-12,SANTA FE,COLONIA CRESPO,210
2025-09-01,SANTA FE,TOSTADO,168
2025-09-09,CHACO,GENERAL PINEDO,32
2025-09-09,SANTA FE,CHAPUY,174
2025-09-10,CHACO,VILLA ANGELA,50
2025-09-10,SANTA FE,LA SARITA,6
2025-09-11,CHACO,GENERAL PINEDO,49
2025-09-18,CHACO,PAMPA DEL INFIERNO,9
2025-09-18,SANTA FE,TOSTADO,1130
2025-09-19,CHACO,QUITILIPI,7
2025-09-25,CHACO,LAS BREÑAS,14
2025-09-26,CHACO,CONCEPCION DEL BERME,10
2025-09-29,CHACO,TRES ISLETAS,19
2025-09-29,CÓRDOBA,PORTEÑA,140
2025-09-30,CHACO,GENERAL PINEDO,46
2025-10-02,BUENOS AIRES,CARABELAS,340
2025-10-02,CHACO,GENERAL PINEDO,32
2025-10-02,SANTA FE,EL TREBOL,162
2025-10-02,SANTA FE,GATO COLORADO,26
2025-10-07,SANTA FE,LA SARITA,12
2025-10-09,SANTA FE,TOSTADO,7
2025-10-16,SANTIAGO DEL ESTERO,AVERIAS,14
2025-10-17,SANTA FE,ROSARIO,4500
2025-10-21,SANTIAGO DEL ESTERO,AVERIAS,8
2025-10-23,SANTA FE,AVENA,120
2025-10-23,SANTA FE,TOSTADO,6
2025-10-24,SANTA FE,LA SARITA,7
2025-10-27,CÓRDOBA,PORTEÑA,200
2025-10-27,SANTA FE,CASILDA,200
2025-10-27,SANTA FE,CENTENO,90
2025-10-28,BUENOS AIRES,BRAGADO,30
2025-10-28,CHACO,BASAIL,51
2025-10-28,SANTA FE,TOSTADO,9
2025-10-29,CHACO,MESON DE FIERRO,10
2025-10-29,SANTA FE,GATO COLORADO,10
2025-11-03,CÓRDOBA,JESUS MARIA,12
2025-11-03,SANTA FE,PILAR,90
2025-11-03,SANTA FE,TOSTADO,49
2025-11-04,CÓRDOBA,CORONEL MOLDES,30
2025-11-10,CÓRDOBA,PORTEÑA,90
2025-11-11,SANTA FE,SANTA FE,217
2025-11-12,CÓRDOBA,CORDOBA,62
2025-11-13,SANTA FE,PAZ,210
2025-11-14,CÓRDOBA,JUSTINIANO POSSE,330
2025-11-18,CÓRDOBA,GENERAL CABRERA,30
2025-11-19,CHACO,BASAIL,47
2025-11-25,CHACO,CONCEPCION DEL BERME,3
2025-11-25,SALTA,SANTA CLARA,27
2025-11-26,CHACO,CORONEL DU GRATY,6
2025-11-28,CHACO,COLONIA AGRICOLA PAM,73
2025-11-28,SANTA FE,FORTIN OLMOS,135
2025-11-28,SANTA FE,IRIGOYEN,30
2025-11-28,SANTA FE,LA SARITA,14
2025-11-28,SANTA FE,TOSTADO,66
2025-12-01,CHACO,BASAIL,95
2025-12-01,CÓRDOBA,LEONES,60
2025-12-01,CÓRDOBA,VILLA MARIA (DPTO. G,60
2025-12-01,ENTRE RÍOS,LA PAZ,60
2025-12-01,SANTA FE,IRIGOYEN,60
2025-12-02,CÓRDOBA,ADELIA MARIA,500
2025-12-02,SANTA FE,GOBERNADOR CRESPO,300
2025-12-02,SANTA FE,MARIA SUSANA,60
2025-12-02,SANTA FE,PILAR,60
2025-12-02,SANTA FE,SANTA FE,260
2025-12-02,SANTA FE,TOSTADO,6
2025-12-03,BUENOS AIRES,ARRECIFES,30
2025-12-03,CÓRDOBA,VILLA MARIA (DPTO. G,60
2025-12-03,ENTRE RÍOS,URDINARRAIN,60
2025-12-03,SANTA FE,GESSLER,70
2025-12-03,SANTA FE,RAFAELA,60
2025-12-03,SANTA FE,ROSARIO,350
2025-12-03,SANTA FE,SAN JUSTO,570
2025-12-03,SANTA FE,SANTA FE,200
2025-12-04,BUENOS AIRES,NECOCHEA,4700
2025-12-04,SANTIAGO DEL ESTERO,AGUAS COLORADAS,200
2025-12-05,CÓRDOBA,OLIVA,90
2025-12-06,CÓRDOBA,MONTE RALO,65
2025-12-09,CHACO,COLONIA JUAN JOSE PA,63
2025-12-09,SANTA FE,BOMBAL,169
2025-12-09,SANTA FE,CHAPUY,30
2025-12-09,SANTA FE,PUJATO,400
2025-12-10,CHACO,LOS FRENTONES,8
2025-12-10,CÓRDOBA,ONCATIVO,5
2025-12-10,CÓRDOBA,TRANSITO,120
2025-12-10,CÓRDOBA,WENCESLAO ESCALANTE,200
2025-12-10,SANTA FE,POZO BORRADO,150
2025-12-11,CÓRDOBA,JESUS MARIA,630
2025-12-11,CÓRDOBA,SINSACATE,30
2025-12-11,SANTA FE,SANTA FE,270
2025-12-12,SANTA FE,PUERTO GRAL SAN MARTIN,100
2025-12-12,SANTA FE,TOSTADO,64
2025-12-15,CHACO,PRESIDENCIA ROQUE SAENZ PEÑA,15
2025-12-15,SANTA FE,CAÑADA ROSQUIN,60
2025-12-15,SANTA FE,SAN LORENZO,1000
2025-12-15,SANTA FE,SAN MARCOS DE VENADO,60
2025-12-15,SANTIAGO DEL ESTERO,LA PALOMA (EMBARCADE,240
2025-12-16,SANTA FE,SAN JUSTO,220
2025-12-17,CÓRDOBA,VICUÑA MACKENNA,36
2025-12-17,SANTA FE,RAFAELA,70
2025-12-17,SANTA FE,SANTA FE,120
2025-12-18,BUENOS AIRES,SALTO,1000
2025-12-18,CHACO,PAMPA DEL INFIERNO,500
2025-12-18,SANTA FE,SAN JUSTO,100
2025-12-18,SANTIAGO DEL ESTERO,AGUAS COLORADAS,200
2025-12-19,CÓRDOBA,NOETINGER,200
2025-12-19,SANTA FE,SAN JUSTO,300
2025-12-19,SANTA FE,SAN LORENZO,100
2025-12-22,CHACO,PAMPA DEL INFIERNO,200
2025-12-22,SANTA FE,GESSLER,60
2025-12-22,SANTA FE,RAFAELA,70
2025-12-23,CÓRDOBA,ADELIA MARIA,90
2025-12-23,CÓRDOBA,MATTALDI,180
2025-12-23,SANTA FE,IRIGOYEN,60
2025-12-23,SANTA FE,LUIS PALACIOS,500
2025-12-23,SANTA FE,PILAR,60
2025-12-23,SANTA FE,RAFAELA,500
2025-12-23,SANTA FE,SAN JUSTO,160
2025-12-23,SANTA FE,SAN LORENZO,1000
2025-12-23,SANTA FE,SANTA FE,210
2025-12-23,SANTA FE,VIDELA,600
2025-12-23,SANTA FE,VILLA CAÑAS,3000
2025-12-26,CHACO,PAMPA DEL INFIERNO,500
2025-12-26,CÓRDOBA,ABBURRA,120
2025-12-26,CÓRDOBA,HERNANDO,180
2025-12-26,CÓRDOBA,JESUS MARIA,300
2025-12-26,ENTRE RÍOS,LA PAZ,60
2025-12-26,SANTA FE,ESMERALDA,300
2025-12-26,SANTA FE,LA SARITA,4
2025-12-26,SANTA FE,MARIA SUSANA,150
2025-12-26,SANTA FE,RAFAELA,340
2025-12-26,SANTA FE,SAN JUSTO,60
2025-12-29,BUENOS AIRES,GENERAL VILLEGAS,800
2025-12-29,CHACO,LOS FRENTONES,3354
2025-12-29,CHACO,PAMPA DEL INFIERNO,400
2025-12-29,CÓRDOBA,COLONIA ARROYO DE AL,270
2025-12-29,CÓRDOBA,GENERAL LEVALLE,210
2025-12-29,SANTA FE,ANGELICA,60
2025-12-29,SANTA FE,CARLOS PELLEGRINI,200
2025-12-29,SANTA FE,SANTA MARIA,60
2025-12-29,SANTIAGO DEL ESTERO,QUIMILI,180
2025-12-30,BUENOS AIRES,CHACABUCO,300
2025-12-30,CÓRDOBA,ALMAFUERTE,100
2025-12-30,CÓRDOBA,PILAR,60
2025-12-30,ENTRE RÍOS,FEDERAL,35
2025-12-30,ENTRE RÍOS,GENERAL RAMIREZ,125
2025-12-30,LA PAMPA,CATRILO,210
2025-12-30,SANTA FE,GESSLER,60
2025-12-30,SANTA FE,PILAR,210
2025-12-30,SANTA FE,TOSTADO,112
2025-12-30,SANTA FE,ZENON PEREYRA,500
2026-01-02,BUENOS AIRES,GENERAL VILLEGAS,70
2026-01-02,CÓRDOBA,COLONIA ARROYO DE AL,490
2026-01-02,CÓRDOBA,OLIVA,5000
2026-01-02,CÓRDOBA,SINSACATE,120
2026-01-02,SANTA FE,ROSARIO,303
2026-01-05,BUENOS AIRES,PILAR,600
2026-01-05,CHACO,ITIN,100
