fecha,provincia,localidad,tn
2022-02-06,SANTA FE,COLONIA CASTELLANOS,60
2024-08-14,SANTA FE,RUFINO,30
2024-10-01,ENTRE RÍOS,ALCARAZ,276
2024-10-01,ENTRE RÍOS,LA PAZ,72
2024-10-15,BUENOS AIRES,MARIANO H. ALFONZO,29
2024-10-16,BUENOS AIRES,TODD,77
2024-10-28,SANTA FE,DIAZ,2600
2024-10-30,SANTA FE,LAS PAREJAS,174
2024-11-13,CÓRDOBA,COLONIA EL TRABAJO,59
2024-11-13,CÓRDOBA,COLONIA MARINA,15
2024-11-13,CÓRDOBA,COLONIA SANTA MARIA,97
2024-11-13,CÓRDOBA,DEVOTO,30
2024-11-14,CÓRDOBA,COLONIA SANTA MARIA,73
2024-11-14,CÓRDOBA,DEVOTO,31
2024-11-19,SANTA FE,SAN JUSTO,270
2024-11-20,CÓRDOBA,COLONIA SAN BARTOLOM,31
2024-11-20,CÓRDOBA,DEVOTO,109
2024-11-20,CÓRDOBA,LA FRANCIA,33
2024-11-20,SANTA FE,SAN GUILLERMO (DPTO.,551
2024-11-21,CÓRDOBA,DEVOTO,91
2024-11-22,CÓRDOBA,CHUÑA,512
2024-11-22,CÓRDOBA,COLONIA SANTA RITA (,37
2024-11-22,CÓRDOBA,DEVOTO,29
2024-11-25,CÓRDOBA,AMALIA,6
2024-11-25,CÓRDOBA,DEVOTO,37
2024-11-26,CÓRDOBA,COLONIA EL TRABAJO,16
2024-11-26,CÓRDOBA,COLONIA MALBERTINA,8
2024-11-26,CÓRDOBA,DEVOTO,14
2024-11-26,CÓRDOBA,LA FRANCIA,30
2024-11-27,SANTA FE,LAS GARZAS,32
2024-11-28,CÓRDOBA,COLONIA EL MILAGRO,5
2024-11-28,CÓRDOBA,COLONIA MALBERTINA,13
2024-11-28,CÓRDOBA,DEVOTO,67
2024-11-28,CÓRDOBA,LA FRANCIA,31
2024-11-28,SANTA FE,LAS GARZAS,96
2024-11-29,SANTA FE,SAN GUILLERMO (DPTO.,29
2024-12-09,SANTIAGO DEL ESTERO,BANDERA,200
2024-12-11,SANTA FE,LAS ROSAS,32000
2024-12-12,CÓRDOBA,SAN FRANCISCO (DPTO.,148
2024-12-16,BUENOS AIRES,PERGAMINO,58
2024-12-17,SANTA FE,SANTA FE,300
2024-12-19,BUENOS AIRES,ROJAS,184
2024-12-19,SANTA FE,ROSARIO,530
2024-12-27,BUENOS AIRES,ROJAS,278
2025-01-02,SANTA FE,AMENABAR,129
2025-01-09,BUENOS AIRES,ROJAS,242
2025-01-09,CÓRDOBA,ALEJANDRO ROCA,66
2025-01-21,SANTIAGO DEL ESTERO,BANDERA,529
2025-01-27,SANTA FE,RUFINO,2000
2025-01-27,SANTIAGO DEL ESTERO,OTUMPA,149
2025-01-28,BUENOS AIRES,ROJAS,147
2025-01-29,BUENOS AIRES,TORNQUIST,1872
2025-01-29,SANTA FE,RUFINO,2000
2025-02-10,BUENOS AIRES,CORONEL PRINGLES,181
2025-02-10,BUENOS AIRES,PERGAMINO,112
2025-02-10,SANTA FE,ARROYO SECO,1000
2025-02-11,SANTA FE,ARROYO SECO,1000
2025-02-13,BUENOS AIRES,ARRECIFES,1500
2025-02-13,BUENOS AIRES,GENERAL VILLEGAS,1500
2025-02-17,BUENOS AIRES,GENERAL VILLEGAS,2000
2025-02-18,BUENOS AIRES,ROJAS,140
2025-02-21,ENTRE RÍOS,GUALEGUAYCHU,1514
2025-02-21,ENTRE RÍOS,MOJONES SUD,813
2025-02-24,BUENOS AIRES,CORONEL PRINGLES,179
2025-02-25,CÓRDOBA,CORDOBA,1000
2025-02-27,CÓRDOBA,ARROYO CABRAL,60
2025-02-28,BUENOS AIRES,BOLIVAR,446
2025-03-05,BUENOS AIRES,JUNIN,37
2025-03-05,CÓRDOBA,EL ARAÑADO,90
2025-03-05,SANTA FE,HUGHES,2000
2025-03-06,BUENOS AIRES,25 DE MAYO,1500
2025-03-06,BUENOS AIRES,ARRIBEÑOS,110
2025-03-06,BUENOS AIRES,ROQUE PEREZ,1500
2025-03-07,BUENOS AIRES,BOLIVAR,320
2025-03-07,ENTRE RÍOS,VILLAGUAY,584
2025-03-10,BUENOS AIRES,BRAGADO,44
2025-03-10,ENTRE RÍOS,LA PAZ,600
2025-03-11,BUENOS AIRES,CARABELAS,200
2025-03-11,BUENOS AIRES,LOS TOLDOS,80
2025-03-11,BUENOS AIRES,ROQUE PEREZ,150
2025-03-11,CÓRDOBA,INRIVILLE,60
2025-03-11,ENTRE RÍOS,BOVRIL,100
2025-03-11,ENTRE RÍOS,LA PICADA,10
2025-03-11,ENTRE RÍOS,LA PICADA NORTE,40
2025-03-11,ENTRE RÍOS,MARIA GRANDE,60
2025-03-11,SANTA FE,CORONEL ARNOLD,300
2025-03-11,SANTA FE,HUGHES,2000
2025-03-11,SANTA FE,ROSARIO,200
2025-03-11,SANTA FE,VILLA CAÑAS,500
2025-03-12,BUENOS AIRES,BRAGADO,1056
2025-03-12,BUENOS AIRES,SARASA,300
2025-03-12,ENTRE RÍOS,ALCARAZ,893
2025-03-12,ENTRE RÍOS,GUALEGUAY,75
2025-03-12,ENTRE RÍOS,SAN SALVADOR,52
2025-03-12,SANTA FE,CHABAS,60
2025-03-13,BUENOS AIRES,BRAGADO,2000
2025-03-13,BUENOS AIRES,DEL CARRIL,220
2025-03-13,BUENOS AIRES,PERGAMINO,507
2025-03-13,BUENOS AIRES,ROJAS,26
2025-03-13,CÓRDOBA,LOS CISNES,1080
2025-03-13,CÓRDOBA,VILLA MARIA (DPTO. G,60
2025-03-13,ENTRE RÍOS,ALCARAZ,129
2025-03-13,ENTRE RÍOS,CONCORDIA,203
2025-03-13,ENTRE RÍOS,EL PALENQUE,914
2025-03-13,ENTRE RÍOS,HASENKAMP,763
2025-03-13,ENTRE RÍOS,MOJONES SUD,222
2025-03-13,ENTRE RÍOS,SAN BENITO,30
2025-03-13,SANTA FE,CAÑADA DE GOMEZ,30
2025-03-13,SANTA FE,ROSARIO,960
2025-03-14,BUENOS AIRES,BRAGADO,745
2025-03-14,BUENOS AIRES,CHIVILCOY,9
