fecha,ph_tn,fij_tn
2025-03-25,0,3759
2025-04-23,0,180
2025-04-24,0,3449
2025-04-25,0,146
2025-04-29,0,402
2025-04-30,0,807
2025-05-06,0,611
2025-05-07,0,740
2025-05-16,0,750
2025-05-19,0,300
2025-05-23,0,2160
2025-05-27,2230,0
2025-06-03,90,0
2025-06-09,55,0
2025-06-10,0,90
2025-06-13,0,26
2025-06-18,200,132
2025-06-24,120,78
2025-07-03,0,164
2025-07-04,0,300
2025-07-10,120,264
2025-07-14,0,90
2025-07-15,120,0
2025-07-16,0,300
2025-07-18,0,800
2025-07-21,0,329
2025-07-22,60,655
2025-07-23,60,375
2025-07-28,120,53
2025-07-31,0,1362
2025-08-01,0,486
2025-08-04,2740,0
2025-08-05,740,58
2025-08-06,1100,0
2025-08-07,610,0
2025-08-08,150,394
2025-08-12,90,0
2025-08-14,60,120
2025-08-18,330,544
2025-08-19,2920,0
2025-08-20,1110,0
2025-08-21,30,56
2025-08-25,110,240
2025-08-26,0,124
2025-08-27,5130,262
2025-08-28,4120,0
2025-08-29,11280,0
2025-09-01,3530,138
2025-09-02,1470,0
2025-09-03,840,30
2025-09-04,780,0
2025-09-05,2500,0
2025-09-08,4000,0
2025-09-09,7440,265
2025-09-10,1820,0
2025-09-11,1000,288
2025-09-12,4150,0
2025-09-15,5120,0
2025-09-16,1200,58
2025-09-17,760,0
2025-09-18,430,0
2025-09-19,2720,0
2025-09-22,1160,0
2025-09-23,49566,262
2025-09-24,82889,0
2025-09-25,6090,60
2025-09-26,150,0
2025-09-29,10190,1880
2025-09-30,1890,0
2025-10-01,5510,0
2025-10-02,1270,0
2025-10-03,350,0
2025-10-06,2919,0
2025-10-07,2960,0
2025-10-08,1240,0
2025-10-09,3340,0
2025-10-13,3550,3008
2025-10-14,10930,997
2025-10-15,7384,0
2025-10-16,1358,0
2025-10-17,4210,0
2025-10-20,4100,0
2025-10-21,44904,0
2025-10-22,6980,51
2025-10-23,6200,0
2025-10-24,2620,0
2025-10-27,5880,0
