fecha,ph_tn,fij_tn
2025-03-27,0,583
2025-03-28,0,58
2025-03-31,0,902
2025-04-01,0,322
2025-04-04,800,0
2025-04-08,16000,478
2025-04-09,1020,0
2025-04-10,0,1980
2025-04-11,0,1905
2025-04-14,60,0
2025-04-15,390,10483
2025-04-16,1490,0
2025-04-23,0,789
2025-04-24,0,2370
2025-04-25,0,328
2025-04-28,0,1382
2025-04-30,2500,2494
2025-05-07,590,0
2025-05-08,30,1701
2025-05-09,750,1047
2025-05-12,0,1638
2025-05-13,0,2071
2025-05-14,1500,0
2025-05-15,60,0
2025-05-16,1000,0
2025-05-19,2500,2621
2025-05-20,1000,137
2025-05-21,500,0
2025-05-22,0,138
2025-05-23,0,6393
2025-05-26,0,127
2025-05-28,0,8792
2025-05-29,120,18811
2025-05-30,0,3
2025-06-02,0,1285
2025-06-03,0,1776
2025-06-04,0,125
2025-06-05,300,1069
2025-06-06,0,1779
2025-06-09,0,1184
2025-06-10,4800,3000
2025-06-11,3200,1820
2025-06-12,0,946
2025-06-13,1194,1790
2025-06-17,150,4440
2025-06-18,560,4162
2025-06-19,0,5745
2025-06-22,0,1500
2025-06-23,0,1346
2025-06-24,2300,9497
2025-06-25,0,1200
2025-06-26,1400,5366
2025-06-27,620,3005
2025-06-30,330,667
2025-07-01,6000,2577
2025-07-02,400,12240
2025-07-03,150,36350
2025-07-04,660,61889
2025-07-05,0,6770
2025-07-07,0,89051
2025-07-08,800,9181
2025-07-09,0,100
2025-07-10,450,4774
2025-07-11,300,8600
2025-07-14,0,20531
2025-07-15,350,298
2025-07-16,0,419
2025-07-17,1500,7403
2025-07-18,3650,4301
2025-07-21,60,545
2025-07-22,270,960
2025-07-23,360,7900
2025-07-24,5330,11924
2025-07-25,200,4634
2025-07-28,0,4388
2025-07-29,0,9719
2025-07-30,1750,5132
2025-07-31,500,7755
2025-08-01,1370,1245
2025-08-04,460,1957
2025-08-05,1000,4700
2025-08-06,2590,709
2025-08-07,2830,5549
2025-08-08,3380,8991
2025-08-11,11650,1269
2025-08-12,1420,6290
2025-08-13,11090,11789
2025-08-14,38440,6427
2025-08-15,0,78
2025-08-18,23020,23352
2025-08-19,9090,2768
2025-08-20,7200,3255
2025-08-21,17080,2259
2025-08-22,5643,6871
2025-08-25,13518,13697
2025-08-26,9485,6131
2025-08-27,120,2719
2025-08-28,1080,2325
2025-08-29,2830,1770
2025-08-30,0,147
2025-09-01,2870,7717
2025-09-02,12508,2000
2025-09-03,10264,5231
2025-09-04,3284,17986
2025-09-05,6520,8975
2025-09-06,0,1472
2025-09-08,1000,21801
2025-09-09,40071,2573
2025-09-10,38332,3448
2025-09-11,46430,6509
2025-09-12,36210,3780
2025-09-13,0,94
2025-09-15,5520,8394
2025-09-16,62027,6333
2025-09-17,56765,7444
2025-09-18,16520,12117
2025-09-19,7400,7161
2025-09-20,0,39
2025-09-22,10458,4276
2025-09-23,19884,1577
2025-09-24,13925,727
2025-09-25,1900,15479
2025-09-26,1310,1638
2025-09-29,1760,1141
2025-09-30,8400,369
2025-10-01,5170,1292
2025-10-02,19588,4912
2025-10-03,15715,4623
2025-10-04,0,6
2025-10-06,18285,8300
2025-10-07,6203,6482
2025-10-08,8760,2715
2025-10-09,21770,18632
2025-10-13,5770,4851
2025-10-14,21815,6251
2025-10-15,1825,2442
2025-10-16,12590,2824
2025-10-17,31990,4258
2025-10-18,0,26
2025-10-20,34200,6383
2025-10-21,22581,2215
2025-10-22,10254,1646
2025-10-23,16232,977
2025-10-24,5080,6458
2025-10-27,19160,3698
2025-10-28,17130,800
2025-10-29,27516,2181
2025-10-30,38300,2553
2025-10-31,9100,3156
2025-11-02,0,35
2025-11-03,10898,1617
2025-11-04,43520,1077
2025-11-05,269897,2590
2025-11-06,39284,1583
2025-11-07,47689,4919
2025-11-08,0,90
2025-11-10,121357,593
2025-11-11,114120,21712
2025-11-12,62876,2144
2025-11-13,227253,2418
2025-11-14,148246,1568
