fecha,ph_tn,fij_tn
2025-08-12,0,210
2025-09-09,174,0
2025-11-10,90,0
2025-11-11,0,217
2025-11-12,0,62
2025-11-13,210,0
2025-11-14,330,0
2025-11-28,30,0
2025-12-01,120,0
2025-12-02,1180,0
2025-12-03,900,0
2025-12-06,65,0
2025-12-10,470,0
2025-12-11,90,0
2025-12-12,100,0
2025-12-15,1360,0
2025-12-16,220,0
2025-12-17,106,0
2025-12-18,1600,0
2025-12-19,500,0
2025-12-22,270,60
2025-12-23,6360,0
2025-12-26,2010,0
2025-12-29,5000,0
2025-12-30,1565,0
2026-01-02,680,0
2026-01-05,250,0
2026-01-06,1000,0
2026-01-07,416,0
2026-01-08,1090,0
2026-01-09,1360,0
2026-01-12,360,0
2026-01-13,1950,0
2026-01-14,7640,0
2026-01-15,5500,0
2026-01-16,2120,1452
2026-01-19,2340,0
2026-01-20,2920,0
2026-01-21,9340,753
2026-01-22,7340,0
2026-01-23,2185,0
2026-01-26,930,0
2026-01-28,4410,0
2026-01-29,14830,0
2026-01-30,2580,0
2026-02-02,3510,0
2026-02-03,3700,0
2026-02-04,7100,480
2026-02-05,7040,0
2026-02-06,4450,0
2026-02-09,6130,0
2026-02-10,2120,0
2026-02-11,1450,0
2026-02-12,2380,0
2026-02-13,850,0
2026-02-18,2000,0
2026-02-19,2038,0
2026-02-20,2760,0
2026-02-23,1425,0
2026-02-24,1650,0
2026-02-25,3190,0
2026-02-26,3548,0
2026-02-27,5920,0
2026-02-28,200,0
2026-03-02,2698,0
2026-03-03,2960,0
2026-03-04,38122,0
2026-03-05,10369,0
2026-03-06,6931,0
2026-03-09,5712,0
2026-03-10,1007,0
2026-03-11,120,0
2026-03-12,1390,0
2026-03-13,11018,0
2026-03-14,30,0
2026-03-16,5227,0
2026-03-17,4001,0
2026-03-18,3935,0
2026-03-19,1945,0
2026-03-20,2079,0
2026-03-25,2905,0
2026-03-26,3537,0
2026-03-27,3979,380
2026-03-30,3427,0
2026-03-31,3751,0
2026-04-01,2419,0
2026-04-06,6978,520
2026-04-07,9462,0
2026-04-08,10897,622
2026-04-09,1549,0
2026-04-10,4390,0
2026-04-11,90,0
2026-04-13,6492,0
2026-04-14,1080,400
2026-04-15,3122,0
2026-04-16,987,0
2026-04-17,1282,0
2026-04-18,600,0
2026-04-20,1259,0
2026-04-21,4126,0
2026-04-22,2865,0
2026-04-23,5453,0
2026-04-24,1319,100
2026-04-27,4567,0
2026-04-28,2209,0
2026-04-29,2706,0
2026-04-30,3240,0
2026-05-04,2979,0
2026-05-05,3828,0
2026-05-06,3983,0
2026-05-07,5362,0
2026-05-08,1908,0
2026-05-11,1894,100
2026-05-12,2429,0
2026-05-13,3031,0
2026-05-14,1653,378
2026-05-15,5327,0
2026-05-16,105,0
2026-05-18,5165,0
2026-05-19,9635,0
2026-05-20,475,0
