fecha,ph_tn,fij_tn
2022-02-06,60,0
2024-08-14,30,0
2024-10-01,0,348
2024-10-15,29,0
2024-10-16,77,0
2024-10-28,0,2600
2024-10-30,0,174
2024-11-20,0,551
2024-11-22,0,512
2024-11-29,0,29
2024-12-09,0,200
2024-12-11,0,32000
2024-12-16,0,58
2024-12-17,300,0
2024-12-19,530,184
2024-12-27,0,278
2025-01-02,64,0
2025-01-09,0,308
2025-01-21,0,529
2025-01-27,2000,0
2025-01-28,0,147
2025-01-29,2000,1872
2025-02-10,0,1181
2025-02-11,0,1000
2025-02-13,3000,0
2025-02-17,2000,0
2025-02-18,0,140
2025-02-21,0,1514
2025-02-24,0,179
2025-02-25,1000,0
2025-02-28,0,446
2025-03-05,2090,37
2025-03-06,3000,110
2025-03-07,0,904
2025-03-10,600,44
2025-03-11,3500,200
2025-03-12,435,2001
2025-03-13,2160,3940
2025-03-14,1800,4006
2025-03-15,0,139
2025-03-17,4313,591
2025-03-18,1130,1792
2025-03-19,420,4316
2025-03-20,1950,9656
2025-03-21,410,5413
2025-03-22,0,98
2025-03-23,0,199
2025-03-25,600,4921
2025-03-26,420,126
2025-03-27,351,2997
2025-03-28,560,7336
2025-03-31,1120,1594
2025-04-01,3750,3108
2025-04-03,710,7098
2025-04-04,600,4445
2025-04-07,0,4329
2025-04-08,640,11469
2025-04-09,500,990
2025-04-10,1000,1484
2025-04-11,0,5532
2025-04-14,100,1222
2025-04-15,600,465
2025-04-16,2000,612
2025-04-17,0,34
2025-04-21,2300,3241
2025-04-22,90,3210
2025-04-23,575,4593
2025-04-24,100,15161
2025-04-25,2300,12306
2025-04-26,0,234
2025-04-28,4136,13029
2025-04-29,150,7465
2025-04-30,2246,11352
2025-05-01,300,0
2025-05-02,0,100
2025-05-03,0,156
2025-05-05,300,653
2025-05-06,1814,1851
2025-05-07,1525,3885
2025-05-08,500,1724
2025-05-09,2277,810
2025-05-10,0,330
2025-05-12,0,2397
2025-05-13,94,3568
2025-05-14,2261,5753
2025-05-15,1140,157803
2025-05-16,0,111172
2025-05-19,500,2615
2025-05-20,1420,5675
2025-05-21,1270,4735
2025-05-22,8195,4938
2025-05-23,1300,5090
2025-05-24,0,61
2025-05-25,0,78
2025-05-26,1600,6740
2025-05-27,1695,2718
2025-05-28,2000,3084
2025-05-29,16385,3579
2025-05-30,17142,2503
2025-05-31,0,426
2025-06-02,7550,5714
2025-06-03,22185,7002
2025-06-04,56074,5528
2025-06-05,27093,4916
2025-06-06,11300,4812
2025-06-07,0,127
2025-06-09,120,11744
2025-06-10,3090,4724
2025-06-11,1040,8100
2025-06-12,1450,3168
2025-06-13,11618,9403
2025-06-16,0,186
2025-06-17,29950,8397
2025-06-18,88147,3971
2025-06-19,19385,1718
2025-06-20,200,89
2025-06-21,0,94
2025-06-22,500,72
2025-06-23,5380,6919
2025-06-24,2460,2158
2025-06-25,2800,5292
2025-06-26,8018,2006
2025-06-27,3780,3520
2025-06-28,300,135
2025-06-30,1730,3782
2025-07-01,1070,1453
2025-07-02,3295,2216
2025-07-03,648,2447
2025-07-04,5490,3071
2025-07-05,0,123
2025-07-07,2670,1964
2025-07-08,1720,3346
2025-07-10,19643,1844
